Inbred,State/Country,Pedigree,NSS,SS,TS,Pop A,Sweet A,Subpopulation
796,Yugoslavia,Vukovarski Yellow Dent,0.785,0.189,0.026,0,0,mixed
4226,Illinois,Funk 90 Day,0.917,0.071,0.012,0,0,nss
4722,Indiana,SA x Ohio yel.,0,0,0,1,0,popcorn
33-16,Indiana,Lux Johnson Country white,0.972,0.014,0.014,0,0,nss
38-11,Indiana,Outcross in line from 176A,0.993,0.003,0.004,0,0,nss
81-1,USDA,Iowa 60*Edisto,0,0,0,0,1,sweet
A188,Minnesota,[(4-29*64)4-29(4)],0.982,0.013,0.006,0,0,nss
A214N,South Africa,(B68*HtN)B68(3),0.017,0.762,0.221,0,0,mixed
A239,Minnesota,A73*A347,0.963,0.035,0.002,0,0,nss
A272,South Africa,Yellow Boesman,0.122,0.019,0.859,0,0,ts
A441-5,South Africa,Robyn*Leamming yellow dent,0.531,0.005,0.464,0,0,mixed
A554,Minnesota,[(WD*Wf9)WD(2))],0.979,0.019,0.002,0,0,nss
A556,Minnesota,B164-886*A237,0.994,0.004,0.002,0,0,nss
A6,Pioneer,Cuban Flint,0.03,0.003,0.967,0,0,ts
A619,Minnesota,[(A171*Oh43)Oh43],0.99,0.009,0.001,0,0,nss
A632,Minnesota,[(Mt42*B14)B14(3)],0.004,0.993,0.004,0,0,ss
A634,Minnesota,[(Mt42*B14)B14(2)],0.1,0.897,0.004,0,0,ss
A635,Minnesota,ND203xB14(3),0.171,0.825,0.004,0,0,ss
A641,Minnesota,ND203*B14,0.481,0.517,0.002,0,0,mixed
A654,Minnesota,A116*Wf9,0.915,0.083,0.002,0,0,nss
A659,Minnesota,Minnesota Synthetic 3,0.991,0.006,0.002,0,0,nss
A661,Minnesota,Minnesota Synthetic AS-A,0.852,0.111,0.037,0,0,nss
A679,Minnesota,[(A662*B73) B73(3)],0.127,0.862,0.011,0,0,ss
A680,Minnesota,[(A662*B73) B73(3)],0.004,0.993,0.002,0,0,ss
A682,Minnesota,[(AS-D*Mo17) Mo17 (2)],0.997,0.002,0.001,0,0,nss
Ab28A,Alabama,GT152*38-11,0.776,0.002,0.222,0,0,mixed
B10,Iowa,Iowa Stiff Stalk Synthetic,0.57,0.429,0.002,0,0,mixed
B103,Iowa,CIMMYT Pool 41 [Northern Temperate Ranges -1 (NTR-1)],0.829,0.163,0.009,0,0,nss
B104,Iowa,BS13(S)C5,0.305,0.694,0.002,0,0,mixed
B105,Iowa,BSSS®C9,0.566,0.397,0.037,0,0,mixed
B109,Iowa,[B73 * BS20(S)C1]B73,0.003,0.995,0.002,0,0,ss
B115,Iowa,BS11(FR)C9,0.847,0.061,0.092,0,0,nss
B14A,Iowa,Cuzco*B14(8),0.001,0.998,0.001,0,0,ss
B164,Minnesota,Indiana Reid (Pioneer),0.756,0.233,0.011,0,0,mixed
B2,Missouri,Reid Yellow Dent,0.988,0.007,0.005,0,0,nss
B37,Iowa,Iowa Stiff Stalk Synthetic,0.002,0.997,0.001,0,0,ss
B46,Iowa,W22*B10,0.784,0.214,0.002,0,0,mixed
B52,Iowa,Segregating material from a private breeder,0.985,0.012,0.003,0,0,nss
B57,Iowa,Midland,0.996,0.002,0.002,0,0,nss
B64,Iowa,41.2504B*B14(3),0.002,0.988,0.01,0,0,ss
B68,Iowa,41.2504B*B14(3),0.001,0.998,0.001,0,0,ss
B73,Iowa,Iowa Stiff Stalk Synthetic C5,0.001,0.999,0.001,0,0,ss
B73Htrhm,Iowa,Ht1 and rhm1 conversion of B73,0.001,0.999,0.001,0,0,ss
B75,Iowa,Iowa Corn Borer Synthetic No. 3 (BSCB3),0.993,0.005,0.002,0,0,nss
B76,Iowa,[(CI.31A*B37)B37],0.087,0.912,0.001,0,0,ss
B77,Iowa,Pioneer Two-Ear composite(BS11),0.915,0.083,0.002,0,0,nss
B79,Iowa,Iowa Two-Ear Synthetic No.1(BSTE),0.693,0.305,0.002,0,0,mixed
B84,Iowa,BS13(S2)C0,0.003,0.996,0.001,0,0,ss
B97,Iowa,BSCB1®C9,0.981,0.016,0.003,0,0,nss
C103,Connecticut,Lancaster Surecrop (from Noah Hershey),0.997,0.002,0.001,0,0,nss
C123,Connecticut,C102*C103,0.952,0.047,0.002,0,0,nss
C49,Minnesota,Minnesota No.13 (also was available from Colorado as M49),0.841,0.143,0.016,0,0,nss
C49A,Minnesota,Minn 13,0.869,0.127,0.004,0,0,nss
CH701-30,Canada - Harrow,unknown,0.993,0.004,0.003,0,0,nss
CH9,Canada - Harrow,Funk’s G176,0.992,0.003,0.006,0,0,nss
CI7,USDA,[(L317*33-16)33-16(2)],0.994,0.004,0.001,0,0,nss
CI187-2,USDA,Krug,0.992,0.006,0.002,0,0,nss
CI21E,USDA,Hy*C.I.21,0.866,0.119,0.014,0,0,nss
CI28A,USDA,Recovered Blight Resistance B2,0.749,0.004,0.247,0,0,mixed
CI31A,USDA,Midland OP,0.994,0.002,0.004,0,0,nss
CI3A,USDA,[(C.I.3*related inbred) C.I.3 (2)],0.905,0.083,0.012,0,0,nss
