"","Pop","Fam","Ind","Plate","Plate.well","HILO.Designation","Population"
"1",366,"G",1,1,"A1",1,"Jicaltapec"
"2",370,"A",1,1,"B1",2,"Puruandiro"
"3",366,"A",1,1,"C1",3,"Jicaltapec"
"4",360,"A",1,1,"D1",4,"Nabogame"
"5",361,"B",1,1,"G1",5,"Penjamillo"
"6",365,"E",1,1,"H1",6,"Tlapala"
"7",25,"G",1,1,"B2",7,"Cococtilan"
"8",370,"F",1,1,"E2",8,"Puruandiro"
"9",30,"I",1,1,"F2",9,"San Pedro"
"10",368,"G",1,1,"H2",10,"Opopeo"
"11",372,"D",1,1,"C3",11,"San Pedro"
"12",27,"L",1,1,"E3",12,"Amatlan"
"13",18,"A",1,1,"F3",13,"Nabogame"
"14",366,"F",2,1,"A4",14,"Jicaltapec"
"15",28,"H",1,1,"F4",15,"Pururandiro"
"16",374,"D",1,1,"H4",16,"Xochomilo"
"17",372,"D",2,1,"B6",17,"San Pedro"
"18",27,"I",2,1,"C5",18,"Amatlan"
"19",30,"J",1,1,"D5",19,"San Pedro"
"20",19,"D",1,1,"G5",20,"Penjamillo"
"21",374,"J",1,1,"H5",21,"Xochomilo"
"22",368,"C",1,1,"A6",22,"Opopeo"
"23",369,"B",1,1,"C6",23,"Amatlan"
"24",367,"D",1,1,"H6",24,"Cocotilan"
"25",365,"F",1,1,"A7",25,"Tlapala"
"26",372,"G",1,1,"B7",26,"San Pedro"
"27",27,"E",2,1,"C7",27,"Amatlan"
"28",27,"P",1,1,"D7",28,"Amatlan"
"29",27,"D",1,1,"E7",29,"Amatlan"
"30",374,"C",1,1,"G7",30,"Xochomilo"
"31",365,"C",1,1,"H7",31,"Tlapala"
"32",372,"E",2,1,"A8",32,"San Pedro"
"33",24,"G",1,1,"B8",33,"Jicaltepec"
"34",35,"D",1,1,"D8",34,"Xochimilco"
"35",361,"F",1,1,"H8",35,"Penjamillo"
"36",370,"I",1,1,"A9",36,"Puruandiro"
"37",367,"F",1,1,"B9",37,"Cocotilan"
"38",28,"K",2,1,"F9",38,"Pururandiro"
"39",30,"B",2,1,"H9",39,"San Pedro"
"40",18,"H",1,1,"A10",40,"Nabogame"
"41",365,"F",2,1,"A2",NA,"Tlapala"
"42",18,"A",2,1,"A3",NA,"Nabogame"
"43",35,"F",2,1,"A5",NA,"Xochimilco"
"44",370,"G",1,1,"A11",NA,"Puruandiro"
"45",35,"L",2,1,"A12",NA,"Xochimilco"
"46",26,"L",2,1,"B3",NA,"Opopeo"
"47",370,"D",2,1,"B4",NA,"Puruandiro"
"48",372,"B",1,1,"B5",NA,"San Pedro"
"49",368,"G",2,1,"B10",NA,"Opopeo"
"50",366,"J",2,1,"B11",NA,"Jicaltapec"
"51",28,"J",1,1,"B12",NA,"Pururandiro"
"52",360,"E",2,1,"C2",NA,"Nabogame"
"53",19,"D",2,1,"C4",NA,"Penjamillo"
"54",367,"F",2,1,"C8",NA,"Cocotilan"
"55",30,"D",2,1,"C9",NA,"San Pedro"
"56",26,"D",2,1,"C10",NA,"Opopeo"
"57",369,"B",2,1,"C11",NA,"Amatlan"
"58",369,"E",1,1,"C12",NA,"Amatlan"
"59",18,"H",2,1,"D2",NA,"Nabogame"
"60",369,"F",2,1,"D3",NA,"Amatlan"
"61",367,"E",2,1,"D4",NA,"Cocotilan"
"62",369,"A",2,1,"D6",NA,"Amatlan"
"63",35,"D",2,1,"D9",NA,"Xochimilco"
"64",26,"L",1,1,"D10",NA,"Opopeo"
"65",19,"A",1,1,"D11",NA,"Penjamillo"
"66",30,"J",2,1,"D12",NA,"San Pedro"
"67",26,"K",2,1,"E1",NA,"Opopeo"
"68",31,"I",2,1,"E4",NA,"Tenango del Air"
"69",31,"J",2,1,"E5",NA,"Tenango del Air"
"70",24,"F",2,1,"E6",NA,"Jicaltepec"
"71",28,"H",2,1,"E8",NA,"Pururandiro"
"72",26,"C",2,1,"E9",NA,"Opopeo"
"73",370,"D",1,1,"E10",NA,"Puruandiro"
"74",26,"H",2,1,"My notes say E11 should be an empty well",NA,"Opopeo"
"75",360,"E",1,1,"E12",NA,"Nabogame"
"76",19,"H",2,1,"F1",NA,"Penjamillo"
"77",373,"D",2,1,"F5",NA,"Tenango del Air"
"78",23,"G",2,1,"F6",NA,"Tlapala"
"79",30,"I",2,1,"F7",NA,"San Pedro"
"80",366,"G",2,1,"F8",NA,"Jicaltapec"
"81",24,"B",1,1,"F10",NA,"Jicaltepec"
"82",24,"B",2,1,"F11",NA,"Jicaltepec"
"83",19,"F",2,1,"F12",NA,"Penjamillo"
"84",30,"M",2,1,"G2",NA,"San Pedro"
"85",374,"A",2,1,"G3",NA,"Xochomilo"
