AvgSpotLen	BioSample	Experiment	Instrument	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	biomaterial_provider	ecotype	geo_loc_name	lat_lon	population	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	dev_stage	tissue
200	SAMN04225718	SRX1406742	Illumina HiSeq 2000	2015-11-05	33073	23204	SRR2886873	SRS1143275	RIMMA0720	Goodman	Mex_Lowland	Guatemala	15.47 N 88.85 W	Mex_Lowland	WGS	PRJNA300309	Plant	TEXAS TECH UNIVERSITY	public	sra	ncbi	0	PAIRED	PCR	GENOMIC	Zea mays subsp. mays	ILLUMINA	2017-10-12	SRP065483	10 days after leaf out	leaf
180	SAMN04225723	SRX1409402	Illumina HiSeq 2000	2015-11-09	7819	5592	SRR2889670	SRS1144382	RIMMA0395	GRIN	SA_Lowland	Colombia: Choco	8.5 N 77.27 W	SA_Lowland	WGS	PRJNA300309	Plant	TEXAS TECH UNIVERSITY	public	sra	ncbi	0	PAIRED	PCR	GENOMIC	Zea mays subsp. mays	ILLUMINA	2017-10-12	SRP065483	10 days after leaf out	leaf
180	SAMN04225723	SRX1409402	Illumina HiSeq 2000	2015-11-09	27867	19392	SRR2889672	SRS1144382	RIMMA0395	GRIN	SA_Lowland	Colombia: Choco	8.5 N 77.27 W	SA_Lowland	WGS	PRJNA300309	Plant	TEXAS TECH UNIVERSITY	public	sra	ncbi	0	PAIRED	PCR	GENOMIC	Zea mays subsp. mays	ILLUMINA	2017-10-12	SRP065483	10 days after leaf out	leaf
180	SAMN04225723	SRX1409402	Illumina HiSeq 2000	2015-11-09	7810	5574	SRR2889674	SRS1144382	RIMMA0395	GRIN	SA_Lowland	Colombia: Choco	8.5 N 77.27 W	SA_Lowland	WGS	PRJNA300309	Plant	TEXAS TECH UNIVERSITY	public	sra	ncbi	0	PAIRED	PCR	GENOMIC	Zea mays subsp. mays	ILLUMINA	2017-10-12	SRP065483	10 days after leaf out	leaf
180	SAMN04225725	SRX1409406	Illumina HiSeq 2000	2015-11-09	27063	19810	SRR2889676	SRS1144387	RIMMA0398	GRIN	SA_Lowland	Colombia: Magdalena	9.43 N 75.7 W	SA_Lowland	WGS	PRJNA300309	Plant	TEXAS TECH UNIVERSITY	public	sra	ncbi	0	PAIRED	PCR	GENOMIC	Zea mays subsp. mays	ILLUMINA	2017-10-12	SRP065483	10 days after leaf out	leaf
180	SAMN04225725	SRX1409406	Illumina HiSeq 2000	2015-11-04	27073	22173	SRR2889677	SRS1144387	RIMMA0398	GRIN	SA_Lowland	Colombia: Magdalena	9.43 N 75.7 W	SA_Lowland	WGS	PRJNA300309	Plant	TEXAS TECH UNIVERSITY	public	sra	ncbi	0	PAIRED	PCR	GENOMIC	Zea mays subsp. mays	ILLUMINA	2017-10-12	SRP065483	10 days after leaf out	leaf
180	SAMN04225725	SRX1409406	Illumina HiSeq 2000	2015-11-04	17788	14495	SRR2889678	SRS1144387	RIMMA0398	GRIN	SA_Lowland	Colombia: Magdalena	9.43 N 75.7 W	SA_Lowland	WGS	PRJNA300309	Plant	TEXAS TECH UNIVERSITY	public	sra	ncbi	0	PAIRED	PCR	GENOMIC	Zea mays subsp. mays	ILLUMINA	2017-10-12	SRP065483	10 days after leaf out	leaf
180	SAMN04225730	SRX1409416	Illumina HiSeq 2000	2015-11-10	26514	19646	SRR2889688	SRS1144397	RIMMA0466	GRIN	Andes	Peru:Apurimac	14.32 S 72.92 W	Andes	WGS	PRJNA300309	Plant	TEXAS TECH UNIVERSITY	public	sra	ncbi	0	PAIRED	PCR	GENOMIC	Zea mays subsp. mays	ILLUMINA	2017-10-12	SRP065483	10 days after leaf out	leaf
180	SAMN04225730	SRX1409416	Illumina HiSeq 2000	2015-11-04	27026	22528	SRR2889689	SRS1144397	RIMMA0466	GRIN	Andes	Peru:Apurimac	14.32 S 72.92 W	Andes	WGS	PRJNA300309	Plant	TEXAS TECH UNIVERSITY	public	sra	ncbi	0	PAIRED	PCR	GENOMIC	Zea mays subsp. mays	ILLUMINA	2017-10-12	SRP065483	10 days after leaf out	leaf
180	SAMN04225730	SRX1409416	Illumina HiSeq 2000	2015-11-04	18179	15002	SRR2889690	SRS1144397	RIMMA0466	GRIN	Andes	Peru:Apurimac	14.32 S 72.92 W	Andes	WGS	PRJNA300309	Plant	TEXAS TECH UNIVERSITY	public	sra	ncbi	0	PAIRED	PCR	GENOMIC	Zea mays subsp. mays	ILLUMINA	2017-10-12	SRP065483	10 days after leaf out	leaf
170	SAMN04225722	SRX1409429	Illumina HiSeq 2000	2015-11-09	23380	16864	SRR2889706	SRS1144414	RIMMA0438	GRIN	Andes	Peru: Ancash	8.7 S 77.38 W	Andes	WGS	PRJNA300309	Plant	TEXAS TECH UNIVERSITY	public	sra	ncbi	0	PAIRED	PCR	GENOMIC	Zea mays subsp. mays	ILLUMINA	2017-10-12	SRP065483	10 days after leaf out	leaf
170	SAMN04225722	SRX1409429	Illumina HiSeq 2000	2015-11-09	12147	8319	SRR2889707	SRS1144414	RIMMA0438	GRIN	Andes	Peru: Ancash	8.7 S 77.38 W	Andes	WGS	PRJNA300309	Plant	TEXAS TECH UNIVERSITY	public	sra	ncbi	0	PAIRED	PCR	GENOMIC	Zea mays subsp. mays	ILLUMINA	2017-10-12	SRP065483	10 days after leaf out	leaf
170	SAMN04225722	SRX1409429	Illumina HiSeq 2000	2015-11-09	26299	18199	SRR2889708	SRS1144414	RIMMA0438	GRIN	Andes	Peru: Ancash	8.7 S 77.38 W	Andes	WGS	PRJNA300309	Plant	TEXAS TECH UNIVERSITY	public	sra	ncbi	0	PAIRED	PCR	GENOMIC	Zea mays subsp. mays	ILLUMINA	2017-10-12	SRP065483	10 days after leaf out	leaf
170	SAMN04225722	SRX1409429	Illumina HiSeq 2000	2015-11-09	24795	18028	SRR2889709	SRS1144414	RIMMA0438	GRIN	Andes	Peru: Ancash	8.7 S 77.38 W	Andes	WGS	PRJNA300309	Plant	TEXAS TECH UNIVERSITY	public	sra	ncbi	0	PAIRED	PCR	GENOMIC	Zea mays subsp. mays	ILLUMINA	2017-10-12	SRP065483	10 days after leaf out	leaf
200	SAMN04225713	SRX1409814	Illumina HiSeq 2000	2015-11-05	32190	21967	SRR2890163	SRS1144724	RIMMA0733	Goodman	Mex_Lowland	Mexico: Oaxac	16.57 N 94.62 W	Mex_Lowland	WGS	PRJNA300309	Plant	TEXAS TECH UNIVERSITY	public	sra	ncbi	0	PAIRED	PCR	GENOMIC	Zea mays subsp. mays	ILLUMINA	2017-10-12	SRP065483	10 days after leaf out	leaf
200	SAMN04225713	SRX1409814	Illumina HiSeq 2000	2015-11-05	34855	24525	SRR2890164	SRS1144724	RIMMA0733	Goodman	Mex_Lowland	Mexico: Oaxac	16.57 N 94.62 W	Mex_Lowland	WGS	PRJNA300309	Plant	TEXAS TECH UNIVERSITY	public	sra	ncbi	0	PAIRED	PCR	GENOMIC	Zea mays subsp. mays	ILLUMINA	2017-10-12	SRP065483	10 days after leaf out	leaf
200	SAMN04225709	SRX1409815	Illumina HiSeq 2000	2015-11-06	32957	22890	SRR2890165	SRS1144725	RIMMA1010	Holland/Goodman	Mex_Lowland	Mexico: La Concordia, Guerrero	16.85 N 99.07 W	Mex_Lowland	WGS	PRJNA300309	Plant	TEXAS TECH UNIVERSITY	public	sra	ncbi	0	PAIRED	PCR	GENOMIC	Zea mays subsp. mays	ILLUMINA	2017-10-12	SRP065483	10 days after leaf out	leaf
200	SAMN04225709	SRX1409815	Illumina HiSeq 2000	2015-11-06	33669	23730	SRR2890166	SRS1144725	RIMMA1010	Holland/Goodman	Mex_Lowland	Mexico: La Concordia, Guerrero	16.85 N 99.07 W	Mex_Lowland	WGS	PRJNA300309	Plant	TEXAS TECH UNIVERSITY	public	sra	ncbi	0	PAIRED	PCR	GENOMIC	Zea mays subsp. mays	ILLUMINA	2017-10-12	SRP065483	10 days after leaf out	leaf
