hilo_id	anc	n	ID	zea	hap_group
1	mex.mex	57	HILO1	maize	maize_mex.mex
2	maize.maize	58	HILO2	maize	maize_maize.maize
3	mex.mex	56	HILO3	maize	maize_mex.mex
4	unc.unc	42	HILO4	maize	maize_unc.unc
6	mex.mex	55	HILO6	maize	maize_mex.mex
8	mex.mex	59	HILO8	maize	maize_mex.mex
9	mex.mex	59	HILO9	mexicana	mexicana_mex.mex
10	mex.mex	54	HILO10	maize	maize_mex.mex
11	unc.unc	39	HILO11	maize	maize_unc.unc
13	mex.mex	59	HILO13	mexicana	mexicana_mex.mex
14	mex.mex	54	HILO14	maize	maize_mex.mex
15	mex.mex	58	HILO15	mexicana	mexicana_mex.mex
16	unc.unc	34	HILO16	maize	maize_unc.unc
17	mex.mex	58	HILO17	maize	maize_mex.mex
19	mex.mex	59	HILO19	mexicana	mexicana_mex.mex
20	mex.mex	57	HILO20	mexicana	mexicana_mex.mex
21	mex.mex	57	HILO21	maize	maize_mex.mex
22	mex.mex	59	HILO22	maize	maize_mex.mex
24	maize.maize	59	HILO24	maize	maize_maize.maize
25	unc.unc	40	HILO25	maize	maize_unc.unc
26	mex.mex	54	HILO26	maize	maize_mex.mex
32	mex.mex	57	HILO32	maize	maize_mex.mex
33	mex.mex	59	HILO33	mexicana	mexicana_mex.mex
36	maize.maize	59	HILO36	maize	maize_maize.maize
37	maize.maize	59	HILO37	maize	maize_maize.maize
38	mex.mex	59	HILO38	mexicana	mexicana_mex.mex
39	mex.mex	59	HILO39	mexicana	mexicana_mex.mex
40	mex.mex	59	HILO40	mexicana	mexicana_mex.mex
46	maize.maize	59	HILO46	maize	maize_maize.maize
47	mex.mex	54	HILO47	mexicana	mexicana_mex.mex
48	maize.maize	56	HILO48	mexicana	mexicana_maize.maize
50	maize.maize	59	HILO50	maize	maize_maize.maize
51	mex.mex	57	HILO51	mexicana	mexicana_mex.mex
53	mex.mex	59	HILO53	mexicana	mexicana_mex.mex
54	mex.mex	58	HILO54	mexicana	mexicana_mex.mex
55	mex.mex	59	HILO55	mexicana	mexicana_mex.mex
56	mex.mex	59	HILO56	mexicana	mexicana_mex.mex
57	mex.mex	58	HILO57	maize	maize_mex.mex
59	mex.mex	59	HILO59	mexicana	mexicana_mex.mex
62	mex.mex	57	HILO62	maize	maize_mex.mex
63	unc.unc	41	HILO63	maize	maize_unc.unc
64	mex.mex	56	HILO64	maize	maize_mex.mex
65	mex.mex	59	HILO65	mexicana	mexicana_mex.mex
66	mex.mex	52	HILO66	maize	maize_mex.mex
67	mex.mex	58	HILO67	mexicana	mexicana_mex.mex
68	mex.mex	59	HILO68	mexicana	mexicana_mex.mex
69	unc.unc	43	HILO69	maize	maize_unc.unc
70	mex.mex	52	HILO70	maize	maize_mex.mex
72	mex.mex	51	HILO72	maize	maize_mex.mex
73	maize.maize	53	HILO73	mexicana	mexicana_maize.maize
74	mex.mex	57	HILO74	maize	maize_mex.mex
75	maize.maize	58	HILO75	maize	maize_maize.maize
76	mex.mex	57	HILO76	maize	maize_mex.mex
77	mex.mex	56	HILO77	maize	maize_mex.mex
78	mex.mex	58	HILO78	maize	maize_mex.mex
79	mex.mex	58	HILO79	mexicana	mexicana_mex.mex
84	mex.mex	52	HILO84	maize	maize_mex.mex
86	mex.mex	56	HILO86	mexicana	mexicana_mex.mex
87	maize.maize	59	HILO87	maize	maize_maize.maize
88	mex.mex	59	HILO88	mexicana	mexicana_mex.mex
91	maize.maize	59	HILO91	maize	maize_maize.maize
92	mex.mex	58	HILO92	maize	maize_mex.mex
94	mex.mex	59	HILO94	mexicana	mexicana_mex.mex
95	mex.mex	56	HILO95	maize	maize_mex.mex
96	mex.mex	58	HILO96	mexicana	mexicana_mex.mex
97	mex.mex	59	HILO97	mexicana	mexicana_mex.mex
98	unc.unc	32	HILO98	mexicana	mexicana_unc.unc
99	mex.mex	54	HILO99	maize	maize_mex.mex
100	unc.unc	47	HILO100	maize	maize_unc.unc
101	unc.unc	44	HILO101	maize	maize_unc.unc
104	unc.unc	46	HILO104	mexicana	mexicana_unc.unc
106	mex.mex	59	HILO106	mexicana	mexicana_mex.mex
109	mex.mex	56	HILO109	maize	maize_mex.mex
110	mex.mex	59	HILO110	mexicana	mexicana_mex.mex
112	unc.unc	39	HILO112	maize	maize_unc.unc
113	mex.mex	59	HILO113	mexicana	mexicana_mex.mex
114	maize.maize	58	HILO114	maize	maize_maize.maize
117	mex.mex	57	HILO117	maize	maize_mex.mex
118	mex.mex	58	HILO118	mexicana	mexicana_mex.mex
119	maize.maize	59	HILO119	maize	maize_maize.maize
120	mex.mex	59	HILO120	mexicana	mexicana_mex.mex
121	mex.mex	55	HILO121	maize	maize_mex.mex
123	mex.mex	57	HILO123	mexicana	mexicana_mex.mex
124	mex.mex	59	HILO124	mexicana	mexicana_mex.mex
128	mex.mex	59	HILO128	mexicana	mexicana_mex.mex
130	mex.mex	58	HILO130	maize	maize_mex.mex
131	mex.mex	57	HILO131	maize	maize_mex.mex
135	unc.unc	41	HILO135	maize	maize_unc.unc
136	mex.mex	59	HILO136	mexicana	mexicana_mex.mex
137	mex.mex	57	HILO137	maize	maize_mex.mex
138	unc.unc	36	HILO138	maize	maize_unc.unc
139	mex.mex	59	HILO139	mexicana	mexicana_mex.mex
141	mex.mex	59	HILO141	mexicana	mexicana_mex.mex
144	unc.unc	36	HILO144	maize	maize_unc.unc
147	unc.unc	29	HILO147	mexicana	mexicana_unc.unc
148	mex.mex	59	HILO148	mexicana	mexicana_mex.mex
149	mex.mex	59	HILO149	mexicana	mexicana_mex.mex
155	mex.mex	59	HILO155	mexicana	mexicana_mex.mex
156	mex.mex	59	HILO156	mexicana	mexicana_mex.mex
161	mex.mex	59	HILO161	mexicana	mexicana_mex.mex
163	unc.unc	38	HILO163	mexicana	mexicana_unc.unc
165	mex.mex	58	HILO165	maize	maize_mex.mex
168	unc.unc	36	HILO168	maize	maize_unc.unc
169	unc.unc	32	HILO169	maize	maize_unc.unc
171	mex.mex	58	HILO171	mexicana	mexicana_mex.mex
172	mex.mex	58	HILO172	mexicana	mexicana_mex.mex
175	unc.unc	44	HILO175	maize	maize_unc.unc
176	unc.unc	36	HILO176	mexicana	mexicana_unc.unc
177	unc.unc	42	HILO177	maize	maize_unc.unc
182	unc.unc	29	HILO182	mexicana	mexicana_unc.unc
183	mex.mex	58	HILO183	mexicana	mexicana_mex.mex
184	mex.mex	58	HILO184	maize	maize_mex.mex
187	mex.mex	56	HILO187	maize	maize_mex.mex
189	unc.unc	26	HILO189	mexicana	mexicana_unc.unc
193	mex.mex	57	HILO193	maize	maize_mex.mex
194	mex.mex	59	HILO194	mexicana	mexicana_mex.mex
200	mex.mex	57	HILO200	maize	maize_mex.mex
