hilo_id	anc	top_anc_n	ID	zea	hap_group
1	mex.mex	21	HILO1	maize	maize_mex.mex
2	unc.unc	19	HILO2	maize	maize_unc.unc
3	mex.mex	25	HILO3	maize	maize_mex.mex
4	maize.maize	25	HILO4	maize	maize_maize.maize
6	maize.maize	25	HILO6	maize	maize_maize.maize
8	mex.mex	25	HILO8	maize	maize_mex.mex
9	mex.mex	25	HILO9	mexicana	mexicana_mex.mex
10	unc.unc	19	HILO10	maize	maize_unc.unc
11	mex.mex	25	HILO11	maize	maize_mex.mex
13	unc.unc	15	HILO13	mexicana	mexicana_unc.unc
14	mex.mex	25	HILO14	maize	maize_mex.mex
15	mex.mex	25	HILO15	mexicana	mexicana_mex.mex
16	maize.mex	25	HILO16	maize	maize_maize.mex
17	mex.mex	25	HILO17	maize	maize_mex.mex
19	mex.mex	25	HILO19	mexicana	mexicana_mex.mex
20	mex.mex	25	HILO20	mexicana	mexicana_mex.mex
21	mex.mex	25	HILO21	maize	maize_mex.mex
22	mex.mex	25	HILO22	maize	maize_mex.mex
24	mex.mex	22	HILO24	maize	maize_mex.mex
25	maize.mex	22	HILO25	maize	maize_maize.mex
26	mex.mex	25	HILO26	maize	maize_mex.mex
32	mex.mex	25	HILO32	maize	maize_mex.mex
33	mex.mex	25	HILO33	mexicana	mexicana_mex.mex
36	maize.maize	25	HILO36	maize	maize_maize.maize
37	unc.unc	18	HILO37	maize	maize_unc.unc
38	mex.mex	24	HILO38	mexicana	mexicana_mex.mex
39	mex.mex	25	HILO39	mexicana	mexicana_mex.mex
40	mex.mex	25	HILO40	mexicana	mexicana_mex.mex
46	maize.maize	25	HILO46	maize	maize_maize.maize
47	mex.mex	25	HILO47	mexicana	mexicana_mex.mex
48	mex.mex	25	HILO48	mexicana	mexicana_mex.mex
50	maize.maize	25	HILO50	maize	maize_maize.maize
51	mex.mex	25	HILO51	mexicana	mexicana_mex.mex
53	mex.mex	25	HILO53	mexicana	mexicana_mex.mex
54	mex.mex	25	HILO54	mexicana	mexicana_mex.mex
55	mex.mex	25	HILO55	mexicana	mexicana_mex.mex
56	mex.mex	25	HILO56	mexicana	mexicana_mex.mex
57	unc.unc	19	HILO57	maize	maize_unc.unc
59	mex.mex	25	HILO59	mexicana	mexicana_mex.mex
62	mex.mex	24	HILO62	maize	maize_mex.mex
63	mex.mex	25	HILO63	maize	maize_mex.mex
