n	ID	popN	family	zea	symp_allo	RI_ACCESSION	GEOCTY	LOCALITY	num_read_pass	est_coverage	pass1_ANGSD_ID
1	HILO1	366	G1	maize	sympatric	RIMMA0366	Mexico	Jicaltepec	6889137	0.490435189778776	Ind0
2	HILO2	370	A1	maize	sympatric	RIMMA0370	Mexico	Puruandiro	7387832	0.525937107793576	Ind1
3	HILO3	366	A1	maize	sympatric	RIMMA0366	Mexico	Jicaltepec	8172949	0.581829305160756	Ind2
4	HILO4	360	A1	maize	sympatric	RIMMA0360	Mexico	Nabogame	865561	0.0616189768471881	Ind3
5	HILO5	361	B1	maize	sympatric	RIMMA0361	Mexico	Penjamillo	11660015	0.830072281818227	Ind4
6	HILO6	365	E1	maize	sympatric	RIMMA0365	Mexico	Tlapala	9448826	0.67265853074146	Ind5
7	HILO7	25	G1	mexicana	sympatric	RIMME0025	Mexico	Cocotilan	3046133	0.216853114685684	Ind6
8	HILO8	370	F1	maize	sympatric	RIMMA0370	Mexico	Puruandiro	11331004	0.806650106845613	Ind7
9	HILO9	30	I1	mexicana	sympatric	RIMME0030	Mexico	San Pedro	8978696	0.639190144821614	Ind8
10	HILO10	368	G1	maize	sympatric	RIMMA0368	Mexico	Opopeo	11260967	0.801664197959415	Ind9
11	HILO11	372	D1	maize	sympatric	RIMMA0372	Mexico	San Pedro	1391414	0.0990542631320651	Ind10
12	HILO12	27	L1	mexicana	sympatric	RIMME0027	Mexico	Amatlan	10052822	0.715656789142421	Ind11
13	HILO13	18	A1	mexicana	sympatric	RIMME0018	Mexico	Nabogame	2029145	0.144454104071911	Ind12
14	HILO14	366	F2	maize	sympatric	RIMMA0366	Mexico	Jicaltepec	3029572	0.215674143041206	Ind13
15	HILO15	28	H1	mexicana	sympatric	RIMME0028	Mexico	Puruandiro	5185807	0.369175738586866	Ind14
16	HILO16	374	D1	maize	sympatric	RIMMA0374	Mexico	Xochimilco	944352	0.0672280798506354	Ind15
17	HILO17	372	B1	maize	sympatric	RIMMA0372	Mexico	San Pedro	11433105	0.813918640380598	Ind16
18	HILO18	27	I2	mexicana	sympatric	RIMME0027	Mexico	Amatlan	16451732	1.17119289478632	Ind17
19	HILO19	30	J1	mexicana	sympatric	RIMME0030	Mexico	San Pedro	15344158	1.09234509935359	Ind18
20	HILO20	19	D1	mexicana	sympatric	RIMME0019	Mexico	Penjamillo	9659391	0.687648577497065	Ind19
21	HILO21	374	J1	maize	sympatric	RIMMA0374	Mexico	Xochimilco	22975782	1.63563767210404	Ind20
22	HILO22	368	C1	maize	sympatric	RIMMA0368	Mexico	Opopeo	14969619	1.06568180240587	Ind21
23	HILO23	369	B1	maize	sympatric	RIMMA0369	Mexico	Amatlan	17040844	1.21313156657075	Ind22
24	HILO24	367	D1	maize	sympatric	RIMMA0367	Mexico	Cocotilan	5934256	0.42245755419813	Ind23
25	HILO25	365	F1	maize	sympatric	RIMMA0365	Mexico	Tlapala	1332091	0.0948310800594616	Ind24
26	HILO26	372	G1	maize	sympatric	RIMMA0372	Mexico	San Pedro	3008234	0.214155098481706	Ind25
27	HILO27	27	E2	mexicana	sympatric	RIMME0027	Mexico	Amatlan	11235346	0.799840248167544	Ind26
28	HILO28	27	P1	mexicana	sympatric	RIMME0027	Mexico	Amatlan	9318941	0.663412064221138	Ind27
29	HILO29	27	D1	mexicana	sympatric	RIMME0027	Mexico	Amatlan	17541224	1.24875343913062	Ind28
30	HILO30	374	C1	maize	sympatric	RIMMA0374	Mexico	Xochimilco	1043	7.42507955552725e-05	Ind29
