 RI_ACCESSION , GENUS        , SPECIES      , ACP          , ACNO         , ACCID        , GEOCTY       , GEOSTA       , LAT          , LON          , ACELLO       , LOCALITY     , PEDIGREE     , SAMPSTAT     , SOURCE       , KERNELS      , NOTES        , FLAG         ,,,,,,,,,

RIAM0001,Apluda,mutica,PI,219568,,,,,,,,,,,,leaf tissu in the ,80C from Kellogg Elizabeth,,,,,,,,,

RIAN0001,Arundinella,nepalensis,PI,384059,,,,,,,,,,,,,,,,,,,,,,

RIBD0001,Brachypodium,distachyon,,,,,,,,,,,,,,W6 36678 'Bd21' 30 seeds 2012i\ 6 days @ 4C in dark\ ,,,,,,,,,,

RICC0001,Chasmopodium,caudatum,kew,184054,,,,,,,,,,,,leaf tissu in the ,80C from Kellogg Elizabeth,,,,,,,,,

RICK0001,Chionachne,koenigii ,SN,,,,,,,,,,,,,,,,,,,,,,,

RICS0001,Chrysopogon,serrulatus,PI,219580,,,,,,,,,,,,,,,,,,,,,,

RICZ0001,Chrysopogon,zizanioides,PI,271633,,,,,,,,,,USDA,,PI 271633 02 SD,,,,,,,,,,

RICZ0002,Chrysopogon,zizanioides,PI,302300,,,,,,,,,,USDA,,PI 302300 01 SD,,,,,,,,,,

RICZ0003,Chrysopogon,zizanioides,PI,538757,,,,,,,,,,USDA,,PI 538757 01 SD,,,,,,,,,,

RID0001,Zea,diploperennis,Ames,21884,87281,Mexico,Jalisco,19.5875,,104.264,1925,Near houses at Zarza mora (Blackberry)  about 2 km east of Las Joyas  6 km west,southwest of Rincon de Manantlan  15 km south,southwest of El Chante  top of Sierra de Manantlan Occidental. Roadside and old fields.,,Wild,USDA,,,,,,,,,

RID0002,Zea,diploperennis,Ames,21890,87289,Mexico,Jalisco,19.5833,,104.283,1950,"Just east of buildings forming Zarzamora (also called Estacion Biologica \Las Joyas\"")  2 km east-southeast of Las Joyas  7 km west-southwest of Rincon de Manantlan  and 11 km south-southeast of Ahuacapan  Sierra de Manantlan Occidental. Thickets along stream in abandoned peach orchard.""",,Wild,USDA,,,,,,,,,,,

RID0003,Zea,diploperennis,PI,441931,336867,Mexico,Jalisco,19.6,,104.283,1900,Las Joyas  7.8 km west by west,southwest of Rincon de Manantlan  about 16 km southwest of El Chante. Thickets along stream and maize fields.,,Wild,USDA,,,,,,,,,,

RID0004,Zea,diploperennis,PI,441932,336868,Mexico,Jalisco,19.5875,,104.264,1925,Near houses at Zarza mora (Blackberry)  about 2 km east of Las Joyas  6 km west,southwest of Rincon de Manantlan  15 km south,southwest of El Chante  top of Sierra de Manantlan Occidental. Open  grassy  ungrazed slopes and roadsides  pastures and grazed orchards.,,Wild,USDA,,,,,,,,,

RIHA0001,Hemarthria,altissima,PI,299039,,,,,,,,,,,,,,,,,,,,,,

RIHH0001,Hyparrhenia,hirta,PI,206889,,,,,,,,,,,,,,,,,,,,,,

RIHY0001,Zea,mays subsp. mays,,,,,,,,,,,,,,RIMMA0758 x RIMMA0039 F1 (Chulpi x Costeno),,,,,,,,,,

RIHY0004,Zea,hybrid,,,,,,,,,,ssp mays x ssp parviglumis,,Doebley,0,6k from Doebley\ Packet 16609\ Seed Lot 06GH,94,4 x TIP,522\ Cross Notes: F1\ Stock Description: B73 x TIL1,S8\ 2k sent to R. Kelly Dawe\ No more seeds,,,,,,

RIHY0005,Zea,hybrid,,,,,,,,,,ssp mays x ssp parviglumis,,Doebley,0,6k from Doebley\ Packet 16613\ Seed Lot 06GH,101,4 x TIP,536\ Cross Notes: F1\ Stock Description: OH43 x TIL 11,S9\ 2k sent to R. Kelly Dawe,,,,,,

RIHY0006,Zea,hybrid,,,,,,,,,,ssp mays x ssp parviglumis,,Doebley,0,6k from Doebley\ Packet 16620\ Seed Lot: GH2006,96,5 x TIP,459,TIP,459\ Cross Notes: F1\ Stock Description: B73 x TIL5\ 2k sent to R. Kelly Dawe,,,,,

RIHY0007,Zea,hybrid,,,,,,,,,,ssp mays x ssp parviglumis,,Doebley,0,6k from Doebley\ Packet 16638\ Seed Lot: GH2006,102,5 x TIP,516,TIP,516\ Cross notes: F1\ Stock Description: OH43 x TIL15\ 2k sent to R. Kelly Dawe,,,,,

RIHY0008,Zea,hybrid,,,,,,,,,,ssp mays x ssp mays,,Flint,Garcia,,MR23 , Zapalote chico  (RIMMA0053) X MR15 Palomero de Jalisco (RIMMA0046)\ 10WN1193\ 5 kernels,1,,,,,,,

RIHY0009,Zea,hybrid,,,,,,,,,,ssp mays x ssp parviglumis,,Flint,Garcia,,,,,,,,,,,

RIHY0010,Zea,hybrid,,,,,,,,,,ssp mays x ssp parviglumis,,Flint,Garcia,,,,,,,,,,,

RIHY0011,Zea,hybrid,,,,,,,,,,ssp mays x ssp parviglumis,,Flint,Garcia,,,,,,,,,,,

RIHY0012,Zea,hybrid,,,,,,,,,,ssp. mays x Zea diploperennis,,Carlson,,"For more info, see \ \ http://www.agron.missouri.edu/mnl/63/195carlson.html\ http://www.agron.missouri.edu/mnl/69/152carlson.html\ http://www.agron.missouri.edu/mnl/63/194carlson.html\ \ 75% of Z. dip. \ \ UMN \ 1997",,,,,,,,,,

