popN	alpha_maize	alpha_mex	n
 18	0.061342189	0.938657811	8
 19	0.125389242	0.874610758	6
 21	0.047493259	0.952506741	8
 23	0.008087115	0.991912885	5
 24	0.022140249	0.977859751	6
 25	0.001995189	0.998004811	7
 26	0.110499346	0.889500654	4
 27	0.000000001	0.999999999	9
 28	0.134238238	0.865761762	6
 29	0.139169819	0.860830181	6
 30	0.008757578	0.991242422	8
 31	0.000000001	0.999999999	4
 34	0.242572901	0.757427099	3
 35	0.000000001	0.999999999	6
360	0.679311914	0.320688086	5
361	0.992661956	0.007338044	8
362	0.581920436	0.418079564	6
363	0.658421244	0.341578756	9
365	0.607212515	0.392787485	4
366	0.570951510	0.429048490	9
367	0.778883817	0.221116183	7
368	0.588427101	0.411572899	5
369	0.874271957	0.125728043	6
370	0.733648654	0.266351346	9
371	0.999999999	0.000000001	7
372	0.625450774	0.374549226	5
373	0.592724595	0.407275405	4
374	0.601200216	0.398799784	7
