"ID"	"RI_ACCESSION"	"popN"	"family"	"ind"	"lane"	"pop_fam_ind"	"library_ID"	"platform"	"instrument_model"	"fastq1"	"fastq2"
"HILO2"	"RIMMA0370"	370	"A"	"xi"	1	"RIMMA0370_A_xi"	"HILO2_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO2_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO2_2.fq.gz"
"HILO3"	"RIMMA0366"	366	"A"	"xi"	1	"RIMMA0366_A_xi"	"HILO3_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO3_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO3_2.fq.gz"
"HILO5"	"RIMMA0361"	361	"B"	"xi"	1	"RIMMA0361_B_xi"	"HILO5_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO5_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO5_2.fq.gz"
"HILO6"	"RIMMA0365"	365	"E"	"xi"	1	"RIMMA0365_E_xi"	"HILO6_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO6_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO6_2.fq.gz"
"HILO7"	"RIMME0025"	25	"G"	"xi"	1	"RIMME0025_G_xi"	"HILO7_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO7_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO7_2.fq.gz"
"HILO8"	"RIMMA0370"	370	"F"	"xi"	1	"RIMMA0370_F_xi"	"HILO8_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO8_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO8_2.fq.gz"
"HILO9"	"RIMME0030"	30	"I"	"xi"	1	"RIMME0030_I_xi"	"HILO9_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO9_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO9_2.fq.gz"
"HILO10"	"RIMMA0368"	368	"G"	"xi"	1	"RIMMA0368_G_xi"	"HILO10_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO10_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO10_2.fq.gz"
"HILO11"	"RIMMA0372"	372	"D"	"xi"	1	"RIMMA0372_D_xi"	"HILO11_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO11_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO11_2.fq.gz"
"HILO12"	"RIMME0027"	27	"L"	"xi"	1	"RIMME0027_L_xi"	"HILO12_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO12_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO12_2.fq.gz"
"HILO13"	"RIMME0018"	18	"A"	"xi"	1	"RIMME0018_A_xi"	"HILO13_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO13_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO13_2.fq.gz"
"HILO15"	"RIMME0028"	28	"H"	"xi"	1	"RIMME0028_H_xi"	"HILO15_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO15_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO15_2.fq.gz"
"HILO16"	"RIMMA0374"	374	"D"	"xi"	1	"RIMMA0374_D_xi"	"HILO16_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO16_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO16_2.fq.gz"
"HILO16"	"RIMMA0374"	374	"D"	"xi"	8	"RIMMA0374_D_xi"	"HILO16_L008"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/Jan2019_8/HILO16_1.fq.gz"	"data/HILO_raw_reads/Jan2019_8/HILO16_2.fq.gz"
"HILO17"	"RIMMA0372"	372	"B"	"xi"	1	"RIMMA0372_B_xi"	"HILO17_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO17_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO17_2.fq.gz"
"HILO18"	"RIMME0027"	27	"I"	"xi"	1	"RIMME0027_I_xi"	"HILO18_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO18_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO18_2.fq.gz"
"HILO19"	"RIMME0030"	30	"J"	"xi"	1	"RIMME0030_J_xi"	"HILO19_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO19_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO19_2.fq.gz"
"HILO20"	"RIMME0019"	19	"D"	"xi"	1	"RIMME0019_D_xi"	"HILO20_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO20_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO20_2.fq.gz"
"HILO21"	"RIMMA0374"	374	"J"	"xi"	1	"RIMMA0374_J_xi"	"HILO21_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO21_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO21_2.fq.gz"
"HILO22"	"RIMMA0368"	368	"C"	"xi"	1	"RIMMA0368_C_xi"	"HILO22_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO22_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO22_2.fq.gz"
"HILO23"	"RIMMA0369"	369	"B"	"xi"	1	"RIMMA0369_B_xi"	"HILO23_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO23_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO23_2.fq.gz"
"HILO25"	"RIMMA0365"	365	"F"	"xi"	1	"RIMMA0365_F_xi"	"HILO25_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO25_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO25_2.fq.gz"
"HILO25"	"RIMMA0365"	365	"F"	"xi"	8	"RIMMA0365_F_xi"	"HILO25_L008"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/Jan2019_8/HILO25_1.fq.gz"	"data/HILO_raw_reads/Jan2019_8/HILO25_2.fq.gz"
"HILO27"	"RIMME0027"	27	"E"	"xi"	1	"RIMME0027_E_xi"	"HILO27_L001"	"ILLUMINA"	"Illumina HiSeq 4000"	"data/HILO_raw_reads/March2018/HILO27_1.fq.gz"	"data/HILO_raw_reads/March2018/HILO27_2.fq.gz"
