ID	popN	family	ind	RI_ACCESSION	zea	symp_allo	GEOCTY	LOCALITY	ELEVATION	LAT	LON	reads_q30	est_coverage
HILO2	370	A	xi	RIMMA0370	maize	sympatric	Mexico	Puruandiro	1915	20.1076	-101.49	7346358	0.516117485136097
HILO3	366	A	xi	RIMMA0366	maize	sympatric	Mexico	Jicaltepec	2587	19.3764	-99.6303	8134219	0.57146856358297
HILO5	361	B	xi	RIMMA0361	maize	sympatric	Mexico	Penjamillo	1705	20.1176	-101.93	11610627	0.815703183549354
HILO6	365	E	xi	RIMMA0365	maize	sympatric	Mexico	Tlapala	2272	19.2351	-98.8368	9385236	0.659358610311227
HILO7	25	G	xi	RIMME0025	mexicana	sympatric	Mexico	Cocotilan	2269	19.2244	-98.8427	2922083	0.205290584711355
HILO8	370	F	xi	RIMMA0370	maize	sympatric	Mexico	Puruandiro	1915	20.1076	-101.49	11230010	0.788962982644355
HILO9	30	I	xi	RIMME0030	mexicana	sympatric	Mexico	San Pedro	2459	19.0886	-98.4935	8919916	0.62666761047382
HILO10	368	G	xi	RIMMA0368	maize	sympatric	Mexico	Opopeo	2213	19.4181	-101.613	11183125	0.785669082688676
HILO11	372	D	xi	RIMMA0372	maize	sympatric	Mexico	San Pedro	2459	19.0886	-98.4935	1349145	0.0947840173980004
HILO12	27	L	xi	RIMME0027	mexicana	sympatric	Mexico	Amatlan	1658	18.9719	-99.0551	9936438	0.698083239582219
HILO13	18	A	xi	RIMME0018	mexicana	sympatric	Mexico	Nabogame	2020	26.2465	-106.915	2008681	0.141119638623745
HILO15	28	H	xi	RIMME0028	mexicana	sympatric	Mexico	Puruandiro	1915	20.1076	-101.49	5149698	0.361791404798186
HILO16	374	D	xi	RIMMA0374	maize	sympatric	Mexico	Xochimilco	2237	19.2861	-99.0827	7778250	0.546460004911256
HILO17	372	B	xi	RIMMA0372	maize	sympatric	Mexico	San Pedro	2459	19.0886	-98.4935	11309887	0.794574731535468
HILO18	27	I	xi	RIMME0027	mexicana	sympatric	Mexico	Amatlan	1658	18.9719	-99.0551	16134191	1.13350562055721
HILO19	30	J	xi	RIMME0030	mexicana	sympatric	Mexico	San Pedro	2459	19.0886	-98.4935	15152992	1.0645716045049
HILO20	19	D	xi	RIMME0019	mexicana	sympatric	Mexico	Penjamillo	1705	20.1176	-101.93	9536504	0.669985925198626
HILO21	374	J	xi	RIMMA0374	maize	sympatric	Mexico	Xochimilco	2237	19.2861	-99.0827	22903526	1.60908442521712
HILO22	368	C	xi	RIMMA0368	maize	sympatric	Mexico	Opopeo	2213	19.4181	-101.613	14847902	1.04313754377165
HILO23	369	B	xi	RIMMA0369	maize	sympatric	Mexico	Amatlan	1658	18.9719	-99.0551	16908206	1.18788394996311
HILO25	365	F	xi	RIMMA0365	maize	sympatric	Mexico	Tlapala	2272	19.2351	-98.8368	10862705	0.763158014675477
HILO27	27	E	xi	RIMME0027	mexicana	sympatric	Mexico	Amatlan	1658	18.9719	-99.0551	10987835	0.77194900756135
HILO28	27	P	xi	RIMME0027	mexicana	sympatric	Mexico	Amatlan	1658	18.9719	-99.0551	9165449	0.643917501437196
HILO29	27	D	xi	RIMME0027	mexicana	sympatric	Mexico	Amatlan	1658	18.9719	-99.0551	17279062	1.21393839300381
HILO33	24	G	xi	RIMME0024	mexicana	sympatric	Mexico	Jicaltepec	2587	19.3764	-99.6303	1440774	0.101221401615532
HILO34	35	D	xi	RIMME0035	mexicana	sympatric	Mexico	Xochimilco	2237	19.2861	-99.0827	14737798	1.03540220068281
HILO37	367	F	xi	RIMMA0367	maize	sympatric	Mexico	Cocotilan	2269	19.2244	-98.8427	9869464	0.693377989382119
HILO38	28	K	xi	RIMME0028	mexicana	sympatric	Mexico	Puruandiro	1915	20.1076	-101.49	6284813	0.441538770654881
HILO39	30	B	xi	RIMME0030	mexicana	sympatric	Mexico	San Pedro	2459	19.0886	-98.4935	3963934	0.278485699624966
HILO40	18	H	xi	RIMME0018	mexicana	sympatric	Mexico	Nabogame	2020	26.2465	-106.915	8274452	0.581320615891486
HILO41	26	L	xi	RIMME0026	mexicana	sympatric	Mexico	Opopeo	2213	19.4181	-101.613	25425769	1.78628429950342
HILO42	370	D	xi	RIMMA0370	maize	sympatric	Mexico	Puruandiro	1915	20.1076	-101.49	28778752	2.02184771115094
HILO43	24	B	xi	RIMME0024	mexicana	sympatric	Mexico	Jicaltepec	2587	19.3764	-99.6303	21159177	1.48653539900854
HILO44	369	A	xi	RIMMA0369	maize	sympatric	Mexico	Amatlan	1658	18.9719	-99.0551	7901918	0.555148285165473
HILO45	35	E	xi	RIMME0035	mexicana	sympatric	Mexico	Xochimilco	2237	19.2861	-99.0827	6931403	0.486964872229858
HILO46	370	G	xi	RIMMA0370	maize	sympatric	Mexico	Puruandiro	1915	20.1076	-101.49	10570517	0.742630382378365
HILO47	19	A	xi	RIMME0019	mexicana	sympatric	Mexico	Penjamillo	1705	20.1176	-101.93	2052658	0.144209237394161
