ID	zea	symp_allo	n	GEOCTY	RI_ACCESSION	popN	LOCALITY
RIMMA0409	maize	allopatric	1	Mexico	RIMMA0409	409	MexLow
RIMMA0703	maize	allopatric	2	Mexico	RIMMA0703	703	MexLow
RIMMA0720	maize	allopatric	3	Guatemala	RIMMA0720	720	MexLow
RIMMA0733	maize	allopatric	4	Mexico	RIMMA0733	733	MexLow
RIMMA0390	maize	allopatric	5	Colombia	RIMMA0390	390	SALow
RIMMA0392	maize	allopatric	6	Colombia	RIMMA0392	392	SALow
RIMMA0393	maize	allopatric	7	Colombia	RIMMA0393	393	SALow
RIMMA0395	maize	allopatric	8	Colombia	RIMMA0395	395	SALow
RIMMA0398	maize	allopatric	9	Colombia	RIMMA0398	398	SALow
RIMMA0399	maize	allopatric	10	Colombia	RIMMA0399	399	SALow
RIMMA0466	maize	allopatric	11	Peru	RIMMA0466	466	Andes
RIMMA0468	maize	allopatric	12	Peru	RIMMA0468	468	Andes
RIMMA0662	maize	allopatric	13	Ecuador	RIMMA0662	662	Andes
RIMMA0665	maize	allopatric	14	Ecuador	RIMMA0665	665	Andes
RIMMA0625	maize	allopatric	15	Peru	RIMMA0625	625	Andes
