sample_name	organism	isolate	ecotype	dev_stage	geo_loc_name	tissue	growth_protocol	lat_lon	isolation_source
HILO2	Zea mays subsp. mays	family_A_seed_xi	RIMMA0370	seedling	Mexico:Puruandiro	leaf	greenhouse	20.1076 N 101.49 W	Elevation: 1915 m
HILO3	Zea mays subsp. mays	family_A_seed_xi	RIMMA0366	seedling	Mexico:Jicaltepec	leaf	greenhouse	19.3764 N 99.6303 W	Elevation: 2587 m
HILO5	Zea mays subsp. mays	family_B_seed_xi	RIMMA0361	seedling	Mexico:Penjamillo	leaf	greenhouse	20.1176 N 101.93 W	Elevation: 1705 m
HILO6	Zea mays subsp. mays	family_E_seed_xi	RIMMA0365	seedling	Mexico:Tlapala	leaf	greenhouse	19.2351 N 98.8368 W	Elevation: 2272 m
HILO7	Zea mays subsp. mexicana	family_G_seed_xi	RIMME0025	seedling	Mexico:Cocotilan	leaf	greenhouse	19.2244 N 98.8427 W	Elevation: 2269 m
HILO8	Zea mays subsp. mays	family_F_seed_xi	RIMMA0370	seedling	Mexico:Puruandiro	leaf	greenhouse	20.1076 N 101.49 W	Elevation: 1915 m
HILO9	Zea mays subsp. mexicana	family_I_seed_xi	RIMME0030	seedling	Mexico:San Pedro	leaf	greenhouse	19.0886 N 98.4935 W	Elevation: 2459 m
HILO10	Zea mays subsp. mays	family_G_seed_xi	RIMMA0368	seedling	Mexico:Opopeo	leaf	greenhouse	19.4181 N 101.613 W	Elevation: 2213 m
HILO11	Zea mays subsp. mays	family_D_seed_xi	RIMMA0372	seedling	Mexico:San Pedro	leaf	greenhouse	19.0886 N 98.4935 W	Elevation: 2459 m
HILO12	Zea mays subsp. mexicana	family_L_seed_xi	RIMME0027	seedling	Mexico:Amatlan	leaf	greenhouse	18.9719 N 99.0551 W	Elevation: 1658 m
HILO13	Zea mays subsp. mexicana	family_A_seed_xi	RIMME0018	seedling	Mexico:Nabogame	leaf	greenhouse	26.2465 N 106.915 W	Elevation: 2020 m
HILO15	Zea mays subsp. mexicana	family_H_seed_xi	RIMME0028	seedling	Mexico:Puruandiro	leaf	greenhouse	20.1076 N 101.49 W	Elevation: 1915 m
HILO16	Zea mays subsp. mays	family_D_seed_xi	RIMMA0374	seedling	Mexico:Xochimilco	leaf	greenhouse	19.2861 N 99.0827 W	Elevation: 2237 m
