RI_ACCESSION	popN	family	number	letter	plate	ind2seq	number_inds
RIMME0023	23	F1	1	A	X	1	1
RIMME0023	23	G1	2	A	X	1	2
RIMME0024	24	O	3	A	X	1	2
RIMME0029	29	T	4	A	X	1	1
RIMME0025	25	M	5	A	X	1	2
RIMMA0362	362	G	6	A	X	1	2
RIMME0020	20	B	7	A	X	1	4
RIMMA0368	368	E1	8	A	X	1	2
RIMME0019	19	J	9	A	X	1	2
RIMME0023	23	A	10	A	X	1	2
RIMMA0365	365	I1	11	A	X	1	1
RIMMA0374	374	B1	12	A	X	1	2
RIMMA0372	372	C1	1	B			
RIMME0021	21	J	2	B			
RIMMA0363	363	D	3	B			
RIMME0018	18	L1	4	B			
RIMMA0362	362	F	5	B			
RIMMA0366	366	K	6	B			
RIMME0029	29	B	7	B			
RIMMA0368	368	H2	8	B			
RIMME0024	24	A1	9	B			
RIMMA0360	360	H1	10	B			
RIMME0019	19	N	11	B			
RIMME0034	34	G	12	B			
RIMME0034	34	B	1	C			
RIMME0018	18	O2	2	C			
RIMMA0371	371	A	3	C			
RIMME0028	28	C	4	C			
RIMME0019	19	L	5	C			
RIMMA0365	365	B	6	C			
RIMME0029	29	Q	7	C			
RIMME0018	18	N2	8	C			
RIMME0018	18	J2	9	C			
RIMME0020	20	G	10	C			
RIMME0022	22	O	11	C			
RIMMA0365	365	H2	12	C			
RIMME0026	26	G	1	D			
RIMME0022	22	H	2	D			
RIMME0019	19	K	3	D			
RIMME0020	20	Q	4	D			
RIMME0031	31	I1	5	D			
RIMMA0360	360	I	6	D			
RIMMA0362	362	C	7	D			
RIMME0030	30	P	8	D			
RIMMA0374	374	G2	9	D			
RIMME0034	34	O	10	D			
RIMMA0362	362	A	11	D			
RIMMA0363	363	I	12	D			
RIMMA0362	362	E	1	E			
RIMME0029	29	S	2	E			
RIMME0035	35	C	3	E			
RIMME0031	31	C	4	E			
RIMMA0361	361	A1	5	E			
RIMME0025	25	H	6	E			
RIMME0031	31	K1	7	E			
RIMME0026	26	N1	8	E			
RIMMA0372	372	D1	9	E			
RIMMA0366	366	G1	10	E			
RIMMA0369	369	E1	11	E			
RIMMA0367	367	A1	12	E			
RIMMA0374	374	C1	1	F			
RIMME0031	31	F	2	F			
RIMME0024	24	M	3	F			
RIMMA0360	360	A1	4	F			
RIMME0020	20	N	5	F			
RIMME0034	34	M	6	F			
RIMMA0374	374	I1	7	F			
RIMMA0369	369	G1	8	F			
RIMMA0370	370	B1	9	F			
RIMME0028	28	D	10	F			
RIMMA0367	367	G1	11	F			
RIMME0022	22	N	12	F			
RIMME0026	26	F1	1	G			
RIMMA0360	360	F1	2	G			
RIMME0028	28	F	3	G			
RIMMA0367	367	E1	4	G			
RIMMA0366	366	B1	5	G			
RIMMA0361	361	J1	6	G			
RIMMA0373	373	F2	7	G			
RIMME0020	20	P	8	G			
RIMME0029	29	J	9	G			
RIMMA0360	360	J	10	G			
RIMMA0370	370	C1	11	G			
RIMME0023	23	K1	12	G			
RIMMA0360	360	G1	1	H			
RIMME0024	24	C1	2	H			
RIMME0023	23	I1	3	H			
RIMMA0368	368	A1	4	H			
RIMMA0360	360	M	5	H			
RIMMA0361	361	F1	6	H			
RIMME0022	22	G	7	H			
RIMME0022	22	F	8	H			
RIMME0034	34	K	9	H			
RIMME0020	20	E	10	H			
RIMME0026	26	I	11	H			
RIMME0030	30	O	12	H			
RIMMA0369	369	D1	1	A			
RIMME0030	30	S	2	A			
RIMME0034	34	I	3	A			
RIMME0020	20	K	4	A			
RIMMA0370	370	I1	5	A			
RIMMA0366	366	I2	6	A			
RIMME0018	18	M1	7	A			
RIMMA0360	360	K	8	A			
RIMMA0361	361	E1	9	A			
RIMMA0366	366	F2	10	A			
RIMMA0368	368	B1	11	A			
RIMMA0368	368	D2	12	A			
RIMME0021	21	M	1	B			
RIMME0027	27	M	2	B			
RIMME0035	35	G	3	B			
RIMMA0373	373	D1	4	B			
RIMME0019	19	C1	5	B			
RIMMA0373	373	H	6	B			
RIMME0031	31	N1	7	B			
RIMME0024	24	K	8	B			
RIMME0025	25	D1	9	B			
RIMMA0373	373	C1	10	B			
RIMME0031	31	M1	11	B			
RIMME0030	30	G	12	B			
RIMMA0365	365	A1	1	C			
RIMME0030	30	K	2	C			
RIMME0035	35	M	3	C			
RIMMA0360	360	L	4	C			
RIMME0034	34	E	5	C			
RIMMA0372	372	G1	6	C			
RIMME0026	26	K1	7	C			
RIMME0034	34	L	8	C			
RIMMA0374	374	A1	9	C			
RIMME0031	31	B	10	C			
RIMMA0372	372	F	11	C			
RIMME0028	28	B	12	C			
RIMMA0371	371	H	1	D			
RIMME0019	19	E1	2	D			
RIMME0028	28	O	3	D			
RIMMA0360	360	D1	4	D			
RIMMA0360	360	C1	5	D			
RIMME0021	21	K	6	D			
RIMME0022	22	I	7	D			
RIMMA0363	363	C	8	D			
RIMMA0366	366	C1	9	D			
RIMMA0365	365	C1	10	D			
RIMME0031	31	H1	11	D			
RIMME0027	27	O	12	D			
RIMMA0361	361	D1	1	E			
RIMMA0374	374	F1	2	E			
RIMMA0368	368	F	3	E			
RIMME0024	24	L	4	E			
RIMME0035	35	O	5	E			
RIMMA0372	372	E2	6	E			
RIMME0023	23	C	7	E			
RIMMA0367	367	D1	8	E			
RIMMA0365	365	G	9	E			
RIMME0020	20	I	10	E			
RIMME0024	24	N	11	E			
RIMME0028	28	G	12	E			
RIMME0026	26	D1	1	F			
RIMME0025	25	O	2	F			
RIMME0034	34	J	3	F			
RIMMA0373	373	G1	4	F			
RIMME0026	26	E	5	F			
RIMME0019	19	F	6	F			
