ID	n	popN	family	zea	symp_allo	RI_ACCESSION	GEOCTY	LOCALITY
HILO1	1	366	G1	maize	sympatric	RIMMA0366	Mexico	Jicaltepec
HILO2	2	370	A1	maize	sympatric	RIMMA0370	Mexico	Puruandiro
HILO3	3	366	A1	maize	sympatric	RIMMA0366	Mexico	Jicaltepec
HILO4	4	360	A1	maize	sympatric	RIMMA0360	Mexico	Nabogame
HILO5	5	361	B1	maize	sympatric	RIMMA0361	Mexico	Penjamillo
HILO6	6	365	E1	maize	sympatric	RIMMA0365	Mexico	Tlapala
HILO7	7	25	G1	mexicana	sympatric	RIMME0025	Mexico	Cocotilan
HILO8	8	370	F1	maize	sympatric	RIMMA0370	Mexico	Puruandiro
HILO9	9	30	I1	mexicana	sympatric	RIMME0030	Mexico	San Pedro
HILO10	10	368	G1	maize	sympatric	RIMMA0368	Mexico	Opopeo
HILO11	11	372	D1	maize	sympatric	RIMMA0372	Mexico	San Pedro
HILO12	12	27	L1	mexicana	sympatric	RIMME0027	Mexico	Amatlan
HILO13	13	18	A1	mexicana	sympatric	RIMME0018	Mexico	Nabogame
HILO14	14	366	F2	maize	sympatric	RIMMA0366	Mexico	Jicaltepec
HILO15	15	28	H1	mexicana	sympatric	RIMME0028	Mexico	Puruandiro
HILO16	16	374	D1	maize	sympatric	RIMMA0374	Mexico	Xochimilco
HILO17	17	372	B1	maize	sympatric	RIMMA0372	Mexico	San Pedro
HILO18	18	27	I2	mexicana	sympatric	RIMME0027	Mexico	Amatlan
HILO19	19	30	J1	mexicana	sympatric	RIMME0030	Mexico	San Pedro
HILO20	20	19	D1	mexicana	sympatric	RIMME0019	Mexico	Penjamillo
HILO21	21	374	J1	maize	sympatric	RIMMA0374	Mexico	Xochimilco
HILO22	22	368	C1	maize	sympatric	RIMMA0368	Mexico	Opopeo
HILO23	23	369	B1	maize	sympatric	RIMMA0369	Mexico	Amatlan
HILO24	24	367	D1	maize	sympatric	RIMMA0367	Mexico	Cocotilan
HILO25	25	365	F1	maize	sympatric	RIMMA0365	Mexico	Tlapala
HILO26	26	372	G1	maize	sympatric	RIMMA0372	Mexico	San Pedro
HILO27	27	27	E2	mexicana	sympatric	RIMME0027	Mexico	Amatlan
HILO28	28	27	P1	mexicana	sympatric	RIMME0027	Mexico	Amatlan
HILO29	29	27	D1	mexicana	sympatric	RIMME0027	Mexico	Amatlan
HILO30	30	374	C1	maize	sympatric	RIMMA0374	Mexico	Xochimilco
HILO31	31	365	C1	maize	sympatric	RIMMA0365	Mexico	Tlapala
HILO32	32	372	E2	maize	sympatric	RIMMA0372	Mexico	San Pedro
HILO33	33	24	G1	mexicana	sympatric	RIMME0024	Mexico	Jicaltepec
HILO34	34	35	D1	mexicana	sympatric	RIMME0035	Mexico	Xochimilco
HILO35	35	361	F1	maize	sympatric	RIMMA0361	Mexico	Penjamillo
HILO36	36	370	I1	maize	sympatric	RIMMA0370	Mexico	Puruandiro
HILO37	37	367	F1	maize	sympatric	RIMMA0367	Mexico	Cocotilan
HILO38	38	28	K2	mexicana	sympatric	RIMME0028	Mexico	Puruandiro
HILO39	39	30	B2	mexicana	sympatric	RIMME0030	Mexico	San Pedro
HILO40	40	18	H1	mexicana	sympatric	RIMME0018	Mexico	Nabogame
HILO41	41	26	L1	mexicana	sympatric	RIMME0026	Mexico	Opopeo
HILO42	42	370	D1	maize	sympatric	RIMMA0370	Mexico	Puruandiro
HILO43	43	24	B1	mexicana	sympatric	RIMME0024	Mexico	Jicaltepec
HILO44	44	369	A1	maize	sympatric	RIMMA0369	Mexico	Amatlan
HILO45	45	35	E2	mexicana	sympatric	RIMME0035	Mexico	Xochimilco
HILO46	46	370	G1	maize	sympatric	RIMMA0370	Mexico	Puruandiro
HILO47	47	19	A1	mexicana	sympatric	RIMME0019	Mexico	Penjamillo
HILO48	48	28	J1	mexicana	sympatric	RIMME0028	Mexico	Puruandiro
HILO49	49	369	E1	maize	sympatric	RIMMA0369	Mexico	Amatlan
HILO50	50	360	E1	maize	sympatric	RIMMA0360	Mexico	Nabogame
HILO51	51	18	C1	mexicana	sympatric	RIMME0018	Mexico	Nabogame
HILO52	52	25	E1	mexicana	sympatric	RIMME0025	Mexico	Cocotilan
HILO53	53	18	E1	mexicana	sympatric	RIMME0018	Mexico	Nabogame
HILO54	54	18	D1	mexicana	sympatric	RIMME0018	Mexico	Nabogame
HILO55	55	30	A1	mexicana	sympatric	RIMME0030	Mexico	San Pedro
HILO56	56	30	E1	mexicana	sympatric	RIMME0030	Mexico	San Pedro
HILO57	57	372	C1	maize	sympatric	RIMMA0372	Mexico	San Pedro
HILO58	58	25	C1	mexicana	sympatric	RIMME0025	Mexico	Cocotilan
HILO59	59	26	M1	mexicana	sympatric	RIMME0026	Mexico	Opopeo
HILO60	60	31	D2	mexicana	sympatric	RIMME0031	Mexico	Tenango del Aire
HILO61	61	25	B1	mexicana	sympatric	RIMME0025	Mexico	Cocotilan
HILO62	62	367	G1	maize	sympatric	RIMMA0367	Mexico	Cocotilan
HILO63	63	367	E1	maize	sympatric	RIMMA0367	Mexico	Cocotilan
HILO64	64	374	F1	maize	sympatric	RIMMA0374	Mexico	Xochimilco
HILO65	65	24	D1	mexicana	sympatric	RIMME0024	Mexico	Jicaltepec
