ID	GEOCTY	zea	LOCALITY
PARV1	Mexico	parviglumis	palmar_chico
PARV2	Mexico	parviglumis	palmar_chico
PARV3	Mexico	parviglumis	palmar_chico
PARV4	Mexico	parviglumis	palmar_chico
PARV5	Mexico	parviglumis	palmar_chico
PARV6	Mexico	parviglumis	palmar_chico
PARV7	Mexico	parviglumis	palmar_chico
PARV8	Mexico	parviglumis	palmar_chico
PARV9	Mexico	parviglumis	palmar_chico
PARV10	Mexico	parviglumis	palmar_chico
PARV11	Mexico	parviglumis	palmar_chico
PARV12	Mexico	parviglumis	palmar_chico
PARV13	Mexico	parviglumis	palmar_chico
PARV14	Mexico	parviglumis	palmar_chico
PARV15	Mexico	parviglumis	palmar_chico
PARV16	Mexico	parviglumis	palmar_chico
PARV17	Mexico	parviglumis	palmar_chico
PARV18	Mexico	parviglumis	palmar_chico
PARV19	Mexico	parviglumis	palmar_chico
PARV20	Mexico	parviglumis	palmar_chico
PARV21	Mexico	parviglumis	palmar_chico
PARV22	Mexico	parviglumis	palmar_chico
PARV23	Mexico	parviglumis	palmar_chico
PARV24	Mexico	parviglumis	palmar_chico
PARV25	Mexico	parviglumis	palmar_chico
PARV26	Mexico	parviglumis	palmar_chico
PARV27	Mexico	parviglumis	palmar_chico
PARV28	Mexico	parviglumis	palmar_chico
PARV29	Mexico	parviglumis	palmar_chico
PARV30	Mexico	parviglumis	palmar_chico
PARV31	Mexico	parviglumis	palmar_chico
PARV32	Mexico	parviglumis	palmar_chico
PARV33	Mexico	parviglumis	palmar_chico
PARV34	Mexico	parviglumis	palmar_chico
PARV35	Mexico	parviglumis	palmar_chico
PARV36	Mexico	parviglumis	palmar_chico
PARV37	Mexico	parviglumis	palmar_chico
PARV38	Mexico	parviglumis	palmar_chico
PARV39	Mexico	parviglumis	palmar_chico
PARV40	Mexico	parviglumis	palmar_chico
PARV41	Mexico	parviglumis	palmar_chico
PARV42	Mexico	parviglumis	palmar_chico
PARV43	Mexico	parviglumis	palmar_chico
PARV44	Mexico	parviglumis	palmar_chico
PARV45	Mexico	parviglumis	palmar_chico
PARV46	Mexico	parviglumis	palmar_chico
PARV47	Mexico	parviglumis	palmar_chico
PARV48	Mexico	parviglumis	palmar_chico
PARV49	Mexico	parviglumis	palmar_chico
PARV50	Mexico	parviglumis	palmar_chico
