number_within_pop	RI_ACCESSION	zea	symp_allo	old_ID	LOCALITY	est_coverage	popN	family	under0.5x	notes	got_seed	Library fail	Exclude-repeat
1	RIMMA0360	maize	sympatric	HILO135	Nabogame	1.2294	360	B1	FALSE	*Family label is B(H)_1. check if this is a recent hybrid and do not use both B family samples	0		
2	RIMMA0360	maize	sympatric	HILO112	Nabogame	0.6973	360	B1	FALSE	repeat?	0		T
3	RIMMA0360	maize	sympatric	HILO50	Nabogame	0.7432	360	E1	FALSE		0		
4	RIMMA0360	maize	sympatric	HILO4	Nabogame	0.0603	360	A1	TRUE		1		
5	RIMMA0360	maize	sympatric	HILO251	Nabogame	0	360	A2	TRUE	don't repeat A!	0		T
6	RIMMA0360	maize	sympatric	HILO261	Nabogame	0	360	C1	TRUE		1		
7	RIMMA0360	maize	sympatric	HILO220	Nabogame	0	360	D1	TRUE		1		
8	RIMMA0360	maize	sympatric	HILO223	Nabogame	0	360	F1	TRUE		1		
9	RIMMA0360	maize	sympatric	HILO237	Nabogame	0	360	G1	TRUE		1		
10	RIMMA0360	maize	sympatric	HILO236	Nabogame	0	360	H1	TRUE		1	T	
11	RIMMA0360	maize	sympatric	HILO138	Nabogame	0.329	360	J1	TRUE	*don't seq unless others in family didn't grow; same family at previously sequenced J1 but may not be same individual (just J, not necessarily J1)	1		
12	RIMMA0360	maize	sympatric	NA	Nabogame	0	360	M	NA		1		
13	RIMMA0360	maize	sympatric	NA	Nabogame	0	360	K	NA		1		
14	RIMMA0360	maize	sympatric	NA	Nabogame	0	360	L	NA		1		
15	RIMMA0360	maize	sympatric	NA	Nabogame	0	360	I	NA		1			
1	RIMMA0361	maize	sympatric	HILO5	Penjamillo	0.8156	361	B1	FALSE		0		
2	RIMMA0361	maize	sympatric	HILO81	Penjamillo	0.7464	361	C1	FALSE		0		T
3	RIMMA0361	maize	sympatric	HILO125	Penjamillo	0.9402	361	C1	FALSE	why repeats??	0		
4	RIMMA0361	maize	sympatric	HILO89	Penjamillo	0.887	361	G1	FALSE		0		
5	RIMMA0361	maize	sympatric	HILO132	Penjamillo	0.6424	361	H1	FALSE		0		
6	RIMMA0361	maize	sympatric	HILO93	Penjamillo	0.6929	361	I1	FALSE		0		
7	RIMMA0361	maize	sympatric	HILO126	Penjamillo	0.3293	361	A1	TRUE		1		
8	RIMMA0361	maize	sympatric	HILO265	Penjamillo	0	361	D1	TRUE		1		
9	RIMMA0361	maize	sympatric	HILO247	Penjamillo	0	361	E1	TRUE		1		
10	RIMMA0361	maize	sympatric	HILO35	Penjamillo	0.1339	361	F1	TRUE		1		
11	RIMMA0361	maize	sympatric	HILO234	Penjamillo	0	361	J1	TRUE		1		
1	RIMMA0362	maize	sympatric	HILO193	Santa Clara	0.5978	362	B	FALSE		0		
2	RIMMA0362	maize	sympatric	HILO187	Santa Clara	0.5391	362	C	FALSE	sequence only if space	1		
3	RIMMA0362	maize	sympatric	HILO184	Santa Clara	0.6028	362	D	FALSE		0		
4	RIMMA0362	maize	sympatric	HILO165	Santa Clara	0.7916	362	H	FALSE		0		
5	RIMMA0362	maize	sympatric	HILO209	Santa Clara	0.068	362	F	TRUE		1		
6	RIMMA0362	maize	sympatric	HILO144	Santa Clara	0.1249	362	G	TRUE		1		
7	RIMMA0362	maize	sympatric	NA	Santa Clara	0	362	I(hybrid)	NA	ask jeff -- took 2 each ear -- I put them back	0		
8	RIMMA0362	maize	sympatric	NA	Santa Clara	0	362	E	NA		1		
9	RIMMA0362	maize	sympatric	NA	Santa Clara	0	362	A	NA		1		
1	RIMMA0363	maize	sympatric	HILO219	El Porvenir	1.1878	363	A	FALSE		0		
2	RIMMA0363	maize	sympatric	HILO169	El Porvenir	0.656	363	B	FALSE		0		
3	RIMMA0363	maize	sympatric	HILO177	El Porvenir	0.8812	363	E	FALSE		0		
4	RIMMA0363	maize	sympatric	HILO213	El Porvenir	0.8313	363	F	FALSE		0		
5	RIMMA0363	maize	sympatric	HILO175	El Porvenir	0.6212	363	G	FALSE		0		
6	RIMMA0363	maize	sympatric	HILO200	El Porvenir	0.8684	363	H	FALSE		0		
7	RIMMA0363	maize	sympatric	HILO201	El Porvenir	1.7904	363	J	FALSE		0		
8	RIMMA0363	maize	sympatric	HILO212	El Porvenir	0.4103	363	C	TRUE		1		
9	RIMMA0363	maize	sympatric	HILO168	El Porvenir	0.4414	363	I	TRUE		1		
10	RIMMA0363	maize	sympatric	NA	El Porvenir	0	363	D	NA		1		
1	RIMMA0365	maize	sympatric	HILO117	Tlapala	0.6196	365	D1	FALSE		0		
2	RIMMA0365	maize	sympatric	HILO6	Tlapala	0.6592	365	E1	FALSE		0		
3	RIMMA0365	maize	sympatric	HILO25	Tlapala	0.7055	365	F1	FALSE		0		
4	RIMMA0365	maize	sympatric	HILO99	Tlapala	0.3087	365	A1	TRUE		1		
5	RIMMA0365	maize	sympatric	HILO31	Tlapala	0.0024	365	C1	TRUE		1		
6	RIMMA0365	maize	sympatric	HILO254	Tlapala	0	365	H2	TRUE		1		
7	RIMMA0365	maize	sympatric	HILO224	Tlapala	0	365	I1	TRUE		1		
8	RIMMA0365	maize	sympatric	HILO241	Tlapala	0	365	L2	TRUE	couldn't find L	0		
9	RIMMA0365	maize	sympatric	NA	Tlapala	0	365	B	NA		1		
10	RIMMA0365	maize	sympatric	NA	Tlapala	0	365	G	NA		1		
1	RIMMA0366	maize	sympatric	HILO3	Jicaltepec	0.5713	366	A1	FALSE		0		
2	RIMMA0366	maize	sympatric	HILO95	Jicaltepec	0.5529	366	D2	FALSE		0		
3	RIMMA0366	maize	sympatric	HILO130	Jicaltepec	0.6974	366	E1	FALSE		0		
4	RIMMA0366	maize	sympatric	HILO109	Jicaltepec	0.7926	366	H1	FALSE		0		
5	RIMMA0366	maize	sympatric	HILO78	Jicaltepec	0.5434	366	J1	FALSE		0		
6	RIMMA0366	maize	sympatric	HILO100	Jicaltepec	0.1342	366	B1	TRUE		1		
7	RIMMA0366	maize	sympatric	HILO250	Jicaltepec	0	366	C1	TRUE		1		
8	RIMMA0366	maize	sympatric	HILO14	Jicaltepec	0.2115	366	F2	TRUE		1		
9	RIMMA0366	maize	sympatric	HILO1	Jicaltepec	0.362	366	G1	TRUE		1		
10	RIMMA0366	maize	sympatric	HILO74	Jicaltepec	0.4239	366	I2	TRUE		1		
11	RIMMA0366	maize	sympatric	NA	Jicaltepec	0	366	K	NA		1		
1	RIMMA0367	maize	sympatric	HILO101	Cocotilan	0.7648	367	B1	FALSE		0		
2	RIMMA0367	maize	sympatric	HILO114	Cocotilan	0.6721	367	C1	FALSE		0		
3	RIMMA0367	maize	sympatric	HILO63	Cocotilan	0.5099	367	E1	FALSE	*reseq if space; pop has low sequencing in general and .5 is right on the edge	1		
4	RIMMA0367	maize	sympatric	HILO37	Cocotilan	0.6934	367	F1	FALSE		0		
5	RIMMA0367	maize	sympatric	HILO76	Cocotilan	0.6143	367	H1	FALSE		0		
6	RIMMA0367	maize	sympatric	HILO229	Cocotilan	0	367	A1	TRUE		1		
7	RIMMA0367	maize	sympatric	HILO24	Cocotilan	0.4151	367	D1	TRUE		1		
8	RIMMA0367	maize	sympatric	HILO62	Cocotilan	0.308	367	G1	TRUE		1		
1	RIMMA0368	maize	sympatric	HILO22	Opopeo	1.043	368	C1	FALSE		0		
2	RIMMA0368	maize	sympatric	HILO10	Opopeo	0.7856	368	G1	FALSE		0		
3	RIMMA0368	maize	sympatric	HILO121	Opopeo	1.0778	368	I1	FALSE		0		
4	RIMMA0368	maize	sympatric	HILO243	Opopeo	0	368	A1	TRUE		1		
5	RIMMA0368	maize	sympatric	HILO66	Opopeo	0.3872	368	B1	TRUE		1		
6	RIMMA0368	maize	sympatric	HILO262	Opopeo	0	368	D2	TRUE		1		
7	RIMMA0368	maize	sympatric	HILO72	Opopeo	0.3864	368	E1	TRUE		1		
8	RIMMA0368	maize	sympatric	HILO238	Opopeo	0	368	H2	TRUE		1		
9	RIMMA0368	maize	sympatric	NA	Opopeo	0	368	F	NA		1		
1	RIMMA0369	maize	sympatric	HILO44	Amatlan	0.5546	369	A1	FALSE		0		
2	RIMMA0369	maize	sympatric	HILO23	Amatlan	1.1878	369	B1	FALSE		0		
3	RIMMA0369	maize	sympatric	HILO90	Amatlan	0.6512	369	C2	FALSE		0		
4	RIMMA0369	maize	sympatric	HILO115	Amatlan	0.5371	369	D1	FALSE	sequence only if space	1		
5	RIMMA0369	maize	sympatric	HILO127	Amatlan	1.0645	369	F1	FALSE		0		
6	RIMMA0369	maize	sympatric	HILO49	Amatlan	0.4774	369	E1	TRUE		1		
7	RIMMA0369	maize	sympatric	HILO255	Amatlan	0	369	G1	TRUE		1		
1	RIMMA0370	maize	sympatric	HILO2	Puruandiro	0.5161	370	A1	FALSE		0		
2	RIMMA0370	maize	sympatric	HILO42	Puruandiro	2.0203	370	D1	FALSE		0		
3	RIMMA0370	maize	sympatric	HILO91	Puruandiro	0.6301	370	E1	FALSE		0		
4	RIMMA0370	maize	sympatric	HILO8	Puruandiro	0.789	370	F1	FALSE		0		
5	RIMMA0370	maize	sympatric	HILO46	Puruandiro	0.7421	370	G1	FALSE		0		
6	RIMMA0370	maize	sympatric	HILO119	Puruandiro	0.7484	370	H1	FALSE		0		
7	RIMMA0370	maize	sympatric	HILO87	Puruandiro	0.5589	370	J2	FALSE		0		
