chr	pos_bp	marker	pos_cM	chr_end	length_bp	length_cM	reversed	marker_status	marker_number
1	134914	M1	-4.8	FALSE	89021	0.2	FALSE	keep	1
1	223935	M2	-4.6	FALSE	126819	0.199999999999999	FALSE	keep	2
1	350754	M3	-4.4	FALSE	29267	0.2	FALSE	keep	3
1	380021	M4	-4.2	FALSE	161283	0.4	FALSE	keep	4
1	541304	M6	-3.8	FALSE	162253	0.4	FALSE	keep	6
1	703557	M8	-3.4	FALSE	71983	0.2	FALSE	keep	8
1	775540	M9	-3.2	FALSE	76650	0.2	FALSE	keep	9
1	852190	M10	-3	FALSE	81489	0.2	FALSE	keep	10
1	933679	M11	-2.8	FALSE	81904	0.2	FALSE	keep	11
1	1015583	M12	-2.6	FALSE	182616	0.4	FALSE	keep	12
1	1198199	M14	-2.2	FALSE	64292	0.2	FALSE	keep	14
1	1262491	M15	-2	FALSE	81499	0.2	FALSE	keep	15
1	1343990	M16	-1.8	FALSE	74350	0.2	FALSE	keep	16
1	1418340	M17	-1.6	FALSE	97408	0.2	FALSE	keep	17
1	1515748	M18	-1.4	FALSE	83416	0.2	FALSE	keep	18
1	1599164	M19	-1.2	FALSE	86685	0.2	FALSE	keep	19
1	1685849	M20	-1	FALSE	168319	0.4	FALSE	keep	20
1	1854168	M22	-0.6	FALSE	90439	0.2	FALSE	keep	22
1	1944607	M23	-0.4	FALSE	82521	0.2	FALSE	keep	23
1	2027128	M24	-0.2	FALSE	245749	0.2	FALSE	keep	24
1	2272877	M25	0	FALSE	149858	0.2	FALSE	keep	25
1	2422735	M26	0.2	FALSE	280947	0.2	FALSE	keep	26
1	2703682	M27	0.4	FALSE	236058	0.2	FALSE	keep	27
1	2939740	M28	0.6	FALSE	124659	0.2	FALSE	keep	28
1	3064399	M29	0.8	FALSE	56560	0.2	FALSE	keep	29
1	3120959	M30	1	FALSE	56312	0.2	FALSE	keep	30
1	3177271	M31	1.2	FALSE	56129	0.2	FALSE	keep	31
1	3233400	M32	1.4	FALSE	56048	0.2	FALSE	keep	32
1	3289448	M33	1.6	FALSE	61797	0.2	FALSE	keep	33
1	3351245	M34	1.8	FALSE	135244	0.4	FALSE	keep	34
1	3590001	M38	2.6	FALSE	41798	0.2	FALSE	keep	38
1	3631799	M39	2.8	FALSE	55460	0.2	FALSE	keep	39
1	3687259	M40	3	FALSE	87329	0.2	FALSE	keep	40
1	3774588	M41	3.2	FALSE	27332	0.2	FALSE	keep	41
1	3801920	M42	3.4	FALSE	28925	0.2	FALSE	keep	42
1	3830845	M43	3.6	FALSE	137064	0.2	FALSE	keep	43
1	3967909	M44	3.8	FALSE	326283	0.600000000000001	FALSE	keep	44
1	4294192	M47	4.4	FALSE	113714	0.199999999999999	FALSE	keep	47
1	4407906	M48	4.6	FALSE	61916	0.2	FALSE	keep	48
1	4469822	M49	4.8	FALSE	93161	0.2	FALSE	keep	49
1	4562983	M50	5	FALSE	36894	0.2	FALSE	keep	50
1	4599877	M51	5.2	FALSE	88975	0.2	FALSE	keep	51
1	4688852	M52	5.4	FALSE	51798	0.199999999999999	FALSE	keep	52
1	4740650	M53	5.6	FALSE	49777	0.2	FALSE	keep	53
1	4790427	M54	5.8	FALSE	47141	0.2	FALSE	keep	54
1	4837568	M55	6	FALSE	74683	0.2	FALSE	keep	55
1	4912251	M56	6.2	FALSE	24241	0.2	FALSE	keep	56
1	4936492	M57	6.4	FALSE	49885	0.199999999999999	FALSE	keep	57
1	4986377	M58	6.6	FALSE	47224	0.2	FALSE	keep	58
1	5033601	M59	6.8	FALSE	48697	0.2	FALSE	keep	59
1	5082298	M60	7	FALSE	49687	0.2	FALSE	keep	60
1	5131985	M61	7.2	FALSE	49692	0.2	FALSE	keep	61
1	5181677	M62	7.4	FALSE	220760	1	FALSE	keep	62
1	5402437	M67	8.4	FALSE	48829	0.199999999999999	FALSE	keep	67
1	5451266	M68	8.6	FALSE	48328	0.200000000000001	FALSE	keep	68
1	5499594	M69	8.8	FALSE	87715	0.399999999999999	FALSE	keep	69
1	5587309	M71	9.2	FALSE	50089	0.200000000000001	FALSE	keep	71
1	5637398	M72	9.4	FALSE	58028	0.199999999999999	FALSE	keep	72
1	5695426	M73	9.6	FALSE	71627	0.200000000000001	FALSE	keep	73
1	5767053	M74	9.8	FALSE	87395	0.199999999999999	FALSE	keep	74
1	5854448	M75	10	FALSE	59416	0.199999999999999	FALSE	keep	75
1	5913864	M76	10.2	FALSE	68059	0.200000000000001	FALSE	keep	76
