SNP	marker	chr	pos_cM	pos_bp
1_1	Start1	1	-5.10310376203368	1
1_134914	M1	1	-4.8	134914
1_223935	M2	1	-4.6	223935
1_350754	M3	1	-4.4	350754
1_380021	M4	1	-4.2	380021
1_541304	M6	1	-3.8	541304
1_703557	M8	1	-3.4	703557
1_775540	M9	1	-3.2	775540
1_852190	M10	1	-3	852190
1_933679	M11	1	-2.8	933679
1_1015583	M12	1	-2.6	1015583
1_1198199	M14	1	-2.2	1198199
1_1262491	M15	1	-2	1262491
1_1343990	M16	1	-1.8	1343990
1_1418340	M17	1	-1.6	1418340
1_1515748	M18	1	-1.4	1515748
1_1599164	M19	1	-1.2	1599164
1_1685849	M20	1	-1	1685849
1_1854168	M22	1	-0.6	1854168
1_1944607	M23	1	-0.4	1944607
1_2027128	M24	1	-0.2	2027128
1_2272877	M25	1	0	2272877
1_2422735	M26	1	0.2	2422735
1_2703682	M27	1	0.4	2703682
1_2939740	M28	1	0.6	2939740
1_3064399	M29	1	0.8	3064399
1_3120959	M30	1	1	3120959
1_3177271	M31	1	1.2	3177271
1_3233400	M32	1	1.4	3233400
1_3289448	M33	1	1.6	3289448
1_3351245	M34	1	1.8	3351245
1_3590001	M38	1	2.6	3590001
1_3631799	M39	1	2.8	3631799
1_3687259	M40	1	3	3687259
1_3774588	M41	1	3.2	3774588
1_3801920	M42	1	3.4	3801920
1_3830845	M43	1	3.6	3830845
1_3967909	M44	1	3.8	3967909
1_4294192	M47	1	4.4	4294192
1_4407906	M48	1	4.6	4407906
1_4469822	M49	1	4.8	4469822
1_4562983	M50	1	5	4562983
1_4599877	M51	1	5.2	4599877
1_4688852	M52	1	5.4	4688852
1_4740650	M53	1	5.6	4740650
1_4790427	M54	1	5.8	4790427
1_4837568	M55	1	6	4837568
1_4912251	M56	1	6.2	4912251
1_4936492	M57	1	6.4	4936492
1_4986377	M58	1	6.6	4986377
1_5033601	M59	1	6.8	5033601
1_5082298	M60	1	7	5082298
1_5131985	M61	1	7.2	5131985
1_5181677	M62	1	7.4	5181677
1_5402437	M67	1	8.4	5402437
1_5451266	M68	1	8.6	5451266
1_5499594	M69	1	8.8	5499594
1_5587309	M71	1	9.2	5587309
1_5637398	M72	1	9.4	5637398
1_5695426	M73	1	9.6	5695426
1_5767053	M74	1	9.8	5767053
1_5854448	M75	1	10	5854448
1_5913864	M76	1	10.2	5913864
1_5981923	M77	1	10.4	5981923
1_6210071	M80	1	11	6210071
1_6274705	M81	1	11.2	6274705
1_6362013	M82	1	11.4	6362013
1_6482464	M84	1	11.8	6482464
1_6580373	M85	1	12	6580373
1_6677072	M86	1	12.2	6677072
1_6778496	M87	1	12.4	6778496
1_6878259	M88	1	12.6	6878259
1_6943590	M89	1	12.8	6943590
1_7080568	M90	1	13	7080568
1_7178508	M91	1	13.2	7178508
1_7294679	M92	1	13.4	7294679
1_7402267	M93	1	13.6	7402267
1_7507422	M94	1	13.8	7507422
1_7615174	M95	1	14	7615174
1_7720010	M96	1	14.2	7720010
1_7845138	M97	1	14.4	7845138
1_7952246	M98	1	14.6	7952246
1_8051750	M99	1	14.8	8051750
1_8157383	M100	1	15	8157383
1_8262437	M101	1	15.2	8262437
1_8371577	M102	1	15.4	8371577
1_8459684	M103	1	15.6	8459684
1_8526726	M104	1	15.8	8526726
1_8597019	M105	1	16	8597019
1_8685603	M106	1	16.2	8685603
1_8766910	M107	1	16.4	8766910
1_8836809	M108	1	16.6	8836809
1_8924453	M109	1	16.8	8924453
1_9006856	M110	1	17	9006856
1_9115409	M111	1	17.2	9115409
1_9197848	M112	1	17.4	9197848
1_9294818	M113	1	17.6	9294818
1_9361237	M114	1	17.8	9361237
1_9382349	M115	1	18	9382349
1_9403506	M116	1	18.2	9403506
1_9424376	M117	1	18.4	9424376
1_9454418	M118	1	18.6	9454418
1_9475582	M119	1	18.8	9475582
1_9496751	M120	1	19	9496751
1_9517818	M121	1	19.2	9517818
1_9540861	M122	1	19.4	9540861
1_10045785	M124	1	19.8	10045785
1_10272896	M125	1	20	10272896
1_10367640	M126	1	20.2	10367640
1_10467962	M127	1	20.4	10467962
1_10573121	M128	1	20.6	10573121
1_10631621	M129	1	20.8	10631621
1_10792587	M130	1	21	10792587
1_10900144	M131	1	21.2	10900144
1_10984343	M132	1	21.4	10984343
1_11080436	M133	1	21.6	11080436
1_11179666	M134	1	21.8	11179666
1_11306404	M135	1	22	11306404
1_11417285	M136	1	22.2	11417285
1_11515300	M137	1	22.4	11515300
1_11719235	M139	1	22.8	11719235
1_11822507	M140	1	23	11822507
1_11925842	M141	1	23.2	11925842
1_12028601	M142	1	23.4	12028601
1_12134494	M143	1	23.6	12134494
1_12231346	M144	1	23.8	12231346
1_12335396	M145	1	24	12335396
1_12442696	M146	1	24.2	12442696
1_12533642	M147	1	24.4	12533642
1_12623754	M148	1	24.6	12623754
1_12713476	M149	1	24.8	12713476
1_12805824	M150	1	25	12805824
1_12900455	M151	1	25.2	12900455
1_12983215	M152	1	25.4	12983215
1_13096597	M153	1	25.6	13096597
1_13160463	M154	1	25.8	13160463
1_13284887	M155	1	26	13284887
1_13470308	M156	1	26.2	13470308
1_13642715	M159	1	26.8	13642715
1_13824013	M161	1	27.2	13824013
1_13913696	M162	1	27.4	13913696
1_14007272	M163	1	27.6	14007272
1_14075733	M164	1	27.8	14075733
1_14178957	M165	1	28	14178957
1_14269155	M166	1	28.2	14269155
1_14422685	M168	1	28.6	14422685
1_14541589	M169	1	28.8	14541589
1_14616142	M170	1	29	14616142
1_14719776	M171	1	29.2	14719776
1_14775254	M172	1	29.4	14775254
1_15008482	M173	1	29.6	15008482
1_15237970	M174	1	29.8	15237970
1_15326994	M175	1	30	15326994
1_15417674	M176	1	30.2	15417674
1_15508337	M177	1	30.4	15508337
1_15596893	M178	1	30.6	15596893
1_15729133	M179	1	30.8	15729133
1_15825564	M180	1	31	15825564
1_15874530	M181	1	31.2	15874530
1_15964629	M182	1	31.4	15964629
1_16065300	M183	1	31.6	16065300
1_16184036	M184	1	31.8	16184036
1_16300515	M185	1	32	16300515
1_16415331	M186	1	32.2	16415331
1_16625440	M187	1	32.4	16625440
1_16781995	M188	1	32.6	16781995
1_16897465	M189	1	32.8	16897465
1_17081074	M190	1	33	17081074
1_17333166	M191	1	33.2	17333166
1_17548720	M192	1	33.4	17548720
1_17839465	M193	1	33.6	17839465
1_17991992	M194	1	33.8	17991992
1_18156733	M196	1	34.2	18156733
1_18601254	M198	1	34.6	18601254
1_18816070	M199	1	34.8	18816070
1_19029363	M200	1	35	19029363
1_19254895	M201	1	35.2	19254895
1_19461970	M202	1	35.4	19461970
1_19650808	M203	1	35.6	19650808
1_19912275	M204	1	35.8	19912275
1_20299221	M206	1	36.2	20299221
1_20513321	M207	1	36.4	20513321
1_20956641	M209	1	36.8	20956641
1_21072619	M210	1	37	21072619
1_21348137	M211	1	37.2	21348137
1_21558536	M212	1	37.4	21558536
1_21773408	M213	1	37.6	21773408
1_21891530	M214	1	37.8	21891530
1_21988874	M215	1	38	21988874
1_22085922	M216	1	38.2	22085922
1_22198000	M217	1	38.4	22198000
1_22388822	M218	1	38.6	22388822
1_22606343	M220	1	39	22606343
1_22863176	M221	1	39.2	22863176
1_23118888	M222	1	39.4	23118888
1_23372306	M223	1	39.6	23372306
1_23544812	M224	1	39.8	23544812
1_23754385	M225	1	40	23754385
1_23950719	M226	1	40.2	23950719
1_24093689	M227	1	40.4	24093689
1_24306555	M228	1	40.6	24306555
1_24486860	M229	1	40.8	24486860
1_24675939	M230	1	41	24675939
1_24864474	M231	1	41.2	24864474
1_25062655	M232	1	41.4	25062655
1_25253394	M233	1	41.6	25253394
1_25446185	M234	1	41.8	25446185
1_25931150	M237	1	42.4	25931150
1_26136946	M238	1	42.6	26136946
1_26310692	M239	1	42.8	26310692
1_26433935	M240	1	43	26433935
1_26476976	M241	1	43.2	26476976
1_26722361	M243	1	43.6	26722361
1_26833610	M244	1	43.8	26833610
1_26973386	M246	1	44.2	26973386
1_27202469	M247	1	44.4	27202469
1_27254404	M248	1	44.6	27254404
1_27412729	M249	1	44.8	27412729
1_27481801	M250	1	45	27481801
1_27587216	M251	1	45.2	27587216
1_27696237	M252	1	45.4	27696237
1_27801157	M253	1	45.6	27801157
1_27909399	M254	1	45.8	27909399
1_28017632	M255	1	46	28017632
1_28126112	M256	1	46.2	28126112
1_28199640	M257	1	46.4	28199640
1_28342901	M258	1	46.6	28342901
1_28559536	M260	1	47	28559536
1_28708925	M261	1	47.2	28708925
1_28898928	M262	1	47.4	28898928
1_29093709	M263	1	47.6	29093709
1_29316790	M264	1	47.8	29316790
1_29526653	M265	1	48	29526653
1_29721961	M266	1	48.2	29721961
1_29924239	M267	1	48.4	29924239
1_30142355	M268	1	48.6	30142355
1_30335404	M269	1	48.8	30335404
