include,category,phenotype,gene,name_short,citation,chr_in_literature,v4_coord,ensembl.org_id,ensemble.org_description,source_v4_coord,admixture_prediction,other_notes
TRUE,domestication,branches to single stock,teosinte branched1,tb1,Doebley; Stec & Hubbard 1997; Doebley; Stec & Gustus 1995; Jaenicke-Desperes 2003 (ancient maize study); Dong et al 2019 (tb1 also regulates other dom genes -- high up in domestication hierarchy),1,1:270553676-270554776,Zm00001d033673,Transcription factorÊTEOSINTEÊBRANCHEDÊ1,https://plants.ensembl.org/Zea_mays/Info/Index,low introgression maize; possibly high introgression mexicana (mimicry),
TRUE,domestication,inflorescence architecture,ramosa1,ra1,Vollbrecht 2005 (controls inflorescence) and Sigmon & Vollbrecht 2010 (sig. of selection during domestication),7,7:113572410-113572937,Zm00001d020430,Ramosa1ÊC2H2 zinc-finger transcription factor,https://plants.ensembl.org/Zea_mays/Info/Index,low introgression maize + mexicana,
TRUE,domestication,vegetative shoot architecture (lateral meristem) and inflorescence architecture,barren stalk1,ba1,Gallavotti et al 2004,NA,3:186014629-186015264,Zm00001d042989,Transcription factor bHLH83,https://plants.ensembl.org/Zea_mays/Info/Index,low introgression maize; possibly high introgression mexicana (mimicry),
TRUE,domestication,naked grains' - soft glumes vs. hardened fruit case,teosinte glume architecture1,tga1,Wang et al 2005; Dorweiler et al 1993,NA,4:46350597-46355118,Zm00001d049822,teosinte glume architecture1,https://plants.ensembl.org/Zea_mays/Info/Index,low introgression maize + mexicana,
TRUE,domestication,regulates ramosa1,ramosa2,ra2,Vollbrecht 2005,NA,3:12158280-12159065,Zm00001d039694,ramosa2,https://plants.ensembl.org/Zea_mays/Info/Index,low introgression maize + mexicana,
TRUE,domestication,multiple ranks (vs 2) along inflorescence meristem,Zea floricaula leafy2,zfl2,Doebley & Stec 1991 (QTL maize-mex); Doebley & Stec 1993 (QTL maize-parv); Bomblies & Doebley 2006 (id-ed gene level),2,2:12914091-12917068,Zm00001d002449,Floricaula/leafy-like 2,https://plants.ensembl.org/Zea_mays/Info/Index,low introgression maize + mexicana,
TRUE,domestication,starch biosynthesis pathway,sugary1,su1,Whitt 2002; Jaenicke-Desperes 2003 (ancient maize study.suggests selection may have favored diff alleles in Mexico and New Mexico landraces),NA,4:43110569-43119167,Zm00001d049753,Sugary1,https://plants.ensembl.org/Zea_mays/Info/Index,low introgression maize + mexicana,evidence of selection within starch pathway
TRUE,domestication,starch biosynthesis pathway,brittle endosperm2,bt2,Whitt 2002,NA,4:61315575-61321350,Zm00001d050032,Glucose-1-phosphate adenylyltransferase,https://plants.ensembl.org/Zea_mays/Info/Index,low introgression maize + mexicana,evidence of selection within starch pathway
TRUE,domestication,starch biosynthesis pathway,amylose extender1,ae1,Whitt 2002,NA,5:172412995-172430415,Zm00001d016684,1%2C4-alpha-glucan-branching enzyme 2%2C chloroplastic/amyloplastic,https://plants.ensembl.org/Zea_mays/Info/Index,low introgression maize + mexicana,evidence of selection within starch pathway
TRUE,domestication,switch from many small ears to a few large ears in maize,grassy tillers1,gt1,Wills et al 2013,NA,1:23625801-23627370,Zm00001d028129,grassy tillers1,https://plants.ensembl.org/Zea_mays/Info/Index,low introgression maize; possibly high introgression mexicana (mimicry),
TRUE,domestication,increases earl size and number of kernel rows; also 2 day flowering time delay + 7.5cM extra height,zea agamous-like1,zagl1,Wills et al 2018,NA,1:4979131-4994850,Zm00001d027425,agamous-like6,https://plants.ensembl.org/Zea_mays/Info/Index,low introgression maize + mexicana,also ID-ed in Hufford 2012 and others as a hard domestication sweep site. within teosinte has some evidence of affecting disarticulation too. Weber 2008
TRUE,domestication,shattering 1 ortholog; seed shattering -- disarticulation of kernels,yabby homolog10,ZmSh1-1,Lin et al 2012,1,1:228680490-228685551,Zm00001d032502,yabby homolog10; cereal shattering homolog,https://plants.ensembl.org/Zea_mays/Info/Index,low introgression maize + mexicana,
TRUE,domestication,shattering 1 ortholog; seed shattering -- disarticulation of kernels,C2C2-YABBY-transcription factor 6,ZmSh1-5.1+ZmSh1-5.2,Lin et al 2012,5,5:16650307-16656707,Zm00001d013662,C2C2-YABBY-transcription factor 6,https://plants.ensembl.org/Zea_mays/Info/Index,low introgression maize + mexicana,
TRUE,domestication,storage protein synthesis,prolamin-box binding factor1,pbf1,Jaenicke-Desperes 2003 (ancient maize study shows rapid change in allele freq through time); Wang et al 1998 (just showed the function; not domestication per se),NA,2:158142366-158156919,Zm00001d005100,RNA binding (RRM/RBD/RNP motifs) family protein,https://plants.ensembl.org/Zea_mays/Info/Index,low introgression maize + mexicana,Q. Is this the correct gene? Jaenicke-Desperes just call this 'pbf' gene but they cite Wang 1998 which calls it pbf-1 and I was able to find coordinates for 'pbf1'
TRUE,incompatibility,pollen incompatibility,gametophyte factor1,ga1-m,Lu et al. 2020; theory side Rushworth et al 2020; for this gene being ga1 can cite Gramene https://www.maizegdb.org/gene_center/gene/9039654,4,4:9618917-9619330,Zm00001d048936,pectinesterase,https://plants.ensembl.org/Zea_mays/Info/Index,low introgression maize + variable by mexicana pop,Gramene lists as ZmGa1P (pollen/male determinant of the Ga1 locus)
FALSE,incompatibiility,pollen incompatibility,gametophyte factor2,ga2,Lu et al. 2020; theory side Rushworth et al 2020,5,,,,,low introgression maize + variable by mexicana pop,
